 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:     101
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
    -0.302E+01     0.100E-03    -0.120E-03     0.150E-03    -0.457E-04
    -0.301E+01     0.101E-03    -0.120E-03     0.145E-03    -0.602E-04
    -0.300E+01     0.101E-03    -0.121E-03     0.139E-03    -0.741E-04
    -0.300E+01     0.102E-03    -0.122E-03     0.133E-03    -0.873E-04
    -0.299E+01     0.102E-03    -0.122E-03     0.124E-03    -0.997E-04
    -0.298E+01     0.103E-03    -0.123E-03     0.115E-03    -0.111E-03
    -0.298E+01     0.103E-03    -0.123E-03     0.105E-03    -0.122E-03
    -0.297E+01     0.103E-03    -0.124E-03     0.938E-04    -0.131E-03
    -0.296E+01     0.104E-03    -0.124E-03     0.820E-04    -0.140E-03
    -0.296E+01     0.104E-03    -0.125E-03     0.695E-04    -0.147E-03
    -0.295E+01     0.105E-03    -0.125E-03     0.565E-04    -0.153E-03
    -0.295E+01     0.105E-03    -0.125E-03     0.431E-04    -0.158E-03
    -0.294E+01     0.105E-03    -0.126E-03     0.295E-04    -0.161E-03
    -0.293E+01     0.105E-03    -0.126E-03     0.157E-04    -0.163E-03
    -0.293E+01     0.106E-03    -0.126E-03     0.186E-05    -0.165E-03
    -0.292E+01     0.106E-03    -0.126E-03    -0.119E-04    -0.164E-03
    -0.291E+01     0.106E-03    -0.127E-03    -0.255E-04    -0.163E-03
    -0.291E+01     0.106E-03    -0.127E-03    -0.388E-04    -0.161E-03
    -0.290E+01     0.106E-03    -0.127E-03    -0.517E-04    -0.157E-03
    -0.289E+01     0.106E-03    -0.127E-03    -0.642E-04    -0.153E-03
    -0.289E+01     0.106E-03    -0.127E-03    -0.762E-04    -0.148E-03
    -0.288E+01     0.107E-03    -0.127E-03    -0.876E-04    -0.141E-03
    -0.287E+01     0.107E-03    -0.128E-03    -0.983E-04    -0.134E-03
    -0.287E+01     0.107E-03    -0.128E-03    -0.108E-03    -0.126E-03
    -0.286E+01     0.107E-03    -0.128E-03    -0.118E-03    -0.118E-03
    -0.285E+01     0.107E-03    -0.128E-03    -0.126E-03    -0.108E-03
    -0.285E+01     0.107E-03    -0.128E-03    -0.134E-03    -0.987E-04
    -0.284E+01     0.107E-03    -0.128E-03    -0.141E-03    -0.886E-04
