 IPDIAG_EXTFLX: external fluxes on the control surface
       lmpert:     101
      mthsurf:     960
 MODES
       m         refin         imfin        refout        imfout
      12    -0.680E-03     0.557E-03    -0.231E-02     0.252E-02
      13    -0.484E-03     0.375E-03    -0.250E-02     0.264E-02
      14    -0.320E-03     0.234E-03    -0.255E-02     0.260E-02
      15    -0.189E-03     0.121E-03    -0.246E-02     0.243E-02
      16    -0.922E-04     0.361E-04    -0.227E-02     0.217E-02
      17    -0.244E-04    -0.234E-04    -0.200E-02     0.186E-02
      18     0.224E-04    -0.628E-04    -0.170E-02     0.155E-02
      19     0.512E-04    -0.840E-04    -0.140E-02     0.124E-02
      20     0.642E-04    -0.921E-04    -0.112E-02     0.968E-03
      21     0.690E-04    -0.918E-04    -0.864E-03     0.725E-03
      22     0.682E-04    -0.815E-04    -0.638E-03     0.519E-03
      23     0.636E-04    -0.686E-04    -0.448E-03     0.349E-03
      24     0.582E-04    -0.469E-04    -0.292E-03     0.212E-03
      25     0.461E-04    -0.294E-04    -0.173E-03     0.106E-03
      26     0.367E-04    -0.949E-05    -0.810E-04     0.264E-04
      27     0.255E-04     0.404E-05    -0.163E-04    -0.285E-04
      28     0.170E-04     0.113E-04     0.253E-04    -0.637E-04
      29     0.402E-05     0.155E-04     0.494E-04    -0.827E-04
      30    -0.667E-05     0.133E-04     0.622E-04    -0.908E-04
      31    -0.172E-04     0.109E-04     0.675E-04    -0.875E-04
      32    -0.226E-04     0.509E-05     0.675E-04    -0.777E-04
      33    -0.229E-04    -0.518E-06     0.616E-04    -0.613E-04
      34    -0.223E-04    -0.651E-05     0.529E-04    -0.414E-04
      35    -0.189E-04    -0.747E-05     0.439E-04    -0.219E-04
      36    -0.151E-04    -0.767E-05     0.353E-04    -0.568E-05
      37    -0.992E-05    -0.599E-05     0.247E-04     0.562E-05
      38    -0.570E-05    -0.703E-05     0.132E-04     0.116E-04
      39    -0.184E-05    -0.809E-05    -0.283E-06     0.146E-04
      40    -0.153E-05    -0.786E-05    -0.109E-04     0.131E-04
      41    -0.698E-06    -0.450E-05    -0.179E-04     0.894E-05
      42    -0.476E-06    -0.392E-06    -0.220E-04     0.149E-05
      43    -0.980E-08     0.182E-05    -0.225E-04    -0.347E-05
      44     0.657E-06     0.175E-05    -0.217E-04    -0.610E-05
      45     0.199E-06    -0.464E-06    -0.175E-04    -0.595E-05
      46    -0.349E-06    -0.119E-05    -0.132E-04    -0.587E-05
      47    -0.148E-06     0.118E-06    -0.787E-05    -0.743E-05
      48     0.370E-07     0.797E-06    -0.445E-05    -0.895E-05
      49     0.502E-06     0.157E-06    -0.255E-05    -0.877E-05
      50    -0.611E-06    -0.738E-06    -0.238E-05    -0.664E-05
