 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:      61
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
    -0.257E+01    -0.283E-03    -0.559E-03    -0.350E-03     0.337E-04
    -0.257E+01    -0.276E-03    -0.563E-03    -0.356E-03     0.255E-04
    -0.256E+01    -0.266E-03    -0.567E-03    -0.361E-03     0.176E-04
    -0.255E+01    -0.254E-03    -0.571E-03    -0.365E-03     0.105E-04
    -0.255E+01    -0.240E-03    -0.574E-03    -0.369E-03     0.421E-05
    -0.254E+01    -0.225E-03    -0.575E-03    -0.372E-03    -0.980E-06
    -0.253E+01    -0.208E-03    -0.574E-03    -0.375E-03    -0.497E-05
    -0.253E+01    -0.191E-03    -0.571E-03    -0.376E-03    -0.769E-05
    -0.252E+01    -0.172E-03    -0.565E-03    -0.377E-03    -0.910E-05
    -0.251E+01    -0.153E-03    -0.557E-03    -0.377E-03    -0.924E-05
    -0.251E+01    -0.134E-03    -0.546E-03    -0.376E-03    -0.817E-05
    -0.250E+01    -0.114E-03    -0.533E-03    -0.374E-03    -0.601E-05
    -0.249E+01    -0.950E-04    -0.517E-03    -0.371E-03    -0.289E-05
    -0.249E+01    -0.760E-04    -0.498E-03    -0.367E-03     0.101E-05
    -0.248E+01    -0.576E-04    -0.478E-03    -0.363E-03     0.550E-05
    -0.247E+01    -0.401E-04    -0.456E-03    -0.358E-03     0.104E-04
    -0.247E+01    -0.235E-04    -0.433E-03    -0.352E-03     0.155E-04
    -0.246E+01    -0.815E-05    -0.410E-03    -0.346E-03     0.206E-04
    -0.245E+01     0.584E-05    -0.386E-03    -0.340E-03     0.255E-04
    -0.245E+01     0.183E-04    -0.363E-03    -0.333E-03     0.300E-04
    -0.244E+01     0.292E-04    -0.341E-03    -0.326E-03     0.341E-04
    -0.243E+01     0.384E-04    -0.320E-03    -0.320E-03     0.376E-04
    -0.243E+01     0.458E-04    -0.301E-03    -0.313E-03     0.405E-04
    -0.242E+01     0.514E-04    -0.284E-03    -0.307E-03     0.426E-04
    -0.242E+01     0.552E-04    -0.270E-03    -0.301E-03     0.441E-04
    -0.241E+01     0.573E-04    -0.258E-03    -0.295E-03     0.448E-04
    -0.240E+01     0.576E-04    -0.249E-03    -0.290E-03     0.449E-04
    -0.240E+01     0.564E-04    -0.243E-03    -0.285E-03     0.444E-04
    -0.239E+01     0.536E-04    -0.239E-03    -0.282E-03     0.435E-04
    -0.238E+01     0.495E-04    -0.237E-03    -0.278E-03     0.421E-04
    -0.238E+01     0.441E-04    -0.238E-03    -0.276E-03     0.405E-04
    -0.237E+01     0.377E-04    -0.240E-03    -0.273E-03     0.387E-04
    -0.236E+01     0.305E-04    -0.244E-03    -0.272E-03     0.370E-04
