             psi         ni[m^-3]         ne[m^-3]           ti[eV]           te[eV]        we[rad/s]
    6.447208E-01     1.176984E+18     1.176984E+18     6.933060E+01     6.933060E+01     5.453044E+04
    6.559860E-01     1.147971E+18     1.147971E+18     6.515675E+01     6.515675E+01     5.453044E+04
    6.672024E-01     1.118585E+18     1.118585E+18     6.111867E+01     6.111867E+01     5.453044E+04
    6.783565E-01     1.088868E+18     1.088868E+18     5.722043E+01     5.722043E+01     5.453044E+04
    6.894317E-01     1.058874E+18     1.058874E+18     5.346663E+01     5.346663E+01     5.453044E+04
    7.004067E-01     1.028672E+18     1.028672E+18     4.986262E+01     4.986262E+01     5.453044E+04
    7.112254E-01     9.984337E+17     9.984337E+17     4.642382E+01     4.642382E+01     5.453044E+04
    7.218300E-01     9.683437E+17     9.683437E+17     4.316370E+01     4.316370E+01     5.453044E+04
    7.321584E-01     9.386094E+17     9.386094E+17     4.009468E+01     4.009468E+01     5.453044E+04
    7.420852E-01     9.096328E+17     9.096328E+17     3.724448E+01     3.724448E+01     5.453044E+04
    7.514166E-01     8.820386E+17     8.820386E+17     3.465492E+01     3.465492E+01     5.453044E+04
    7.598588E-01     8.567769E+17     8.567769E+17     3.238756E+01     3.238756E+01     5.453044E+04
    7.670286E-01     8.351008E+17     8.351008E+17     3.051855E+01     3.051855E+01     5.453044E+04
    7.725389E-01     8.183035E+17     8.183035E+17     2.911770E+01     2.911770E+01     5.453044E+04
    7.764117E-01     8.064262E+17     8.064262E+17     2.815174E+01     2.815174E+01     5.453044E+04
    7.791002E-01     7.981456E+17     7.981456E+17     2.749018E+01     2.749018E+01     5.453044E+04
    7.808744E-01     7.926656E+17     7.926656E+17     2.705769E+01     2.705769E+01     5.453044E+04
    7.821121E-01     7.888353E+17     7.888353E+17     2.675790E+01     2.675790E+01     5.453044E+04
    7.830231E-01     7.860121E+17     7.860121E+17     2.653824E+01     2.653824E+01     5.453044E+04
    7.837288E-01     7.838228E+17     7.838228E+17     2.636867E+01     2.636867E+01     5.453044E+04
    7.842570E-01     7.821830E+17     7.821830E+17     2.624209E+01     2.624209E+01     5.453044E+04
    7.846804E-01     7.808679E+17     7.808679E+17     2.614084E+01     2.614084E+01     5.453044E+04
    7.850282E-01     7.797869E+17     7.797869E+17     2.605781E+01     2.605781E+01     5.453044E+04
    7.853178E-01     7.788862E+17     7.788862E+17     2.598874E+01     2.598874E+01     5.453044E+04
    7.855633E-01     7.781227E+17     7.781227E+17     2.593028E+01     2.593028E+01     5.453044E+04
    7.857768E-01     7.774586E+17     7.774586E+17     2.587949E+01     2.587949E+01     5.453044E+04
    7.859616E-01     7.768833E+17     7.768833E+17     2.583555E+01     2.583555E+01     5.453044E+04
    7.861247E-01     7.763756E+17     7.763756E+17     2.579681E+01     2.579681E+01     5.453044E+04
    7.862707E-01     7.759212E+17     7.759212E+17     2.576217E+01     2.576217E+01     5.453044E+04
    7.864026E-01     7.755104E+17     7.755104E+17     2.573087E+01     2.573087E+01     5.453044E+04
    7.865223E-01     7.751378E+17     7.751378E+17     2.570251E+01     2.570251E+01     5.453044E+04
    7.866298E-01     7.748027E+17     7.748027E+17     2.567701E+01     2.567701E+01     5.453044E+04
    7.867302E-01     7.744902E+17     7.744902E+17     2.565325E+01     2.565325E+01     5.453044E+04
    7.868249E-01     7.741952E+17     7.741952E+17     2.563083E+01     2.563083E+01     5.453044E+04
    7.869097E-01     7.739309E+17     7.739309E+17     2.561076E+01     2.561076E+01     5.453044E+04
    7.869923E-01     7.736735E+17     7.736735E+17     2.559122E+01     2.559122E+01     5.453044E+04
    7.870676E-01     7.734387E+17     7.734387E+17     2.557340E+01     2.557340E+01     5.453044E+04
    7.871413E-01     7.732090E+17     7.732090E+17     2.555597E+01     2.555597E+01     5.453044E+04
    7.872091E-01     7.729976E+17     7.729976E+17     2.553994E+01     2.553994E+01     5.453044E+04
    7.872768E-01     7.727867E+17     7.727867E+17     2.552396E+01     2.552396E+01     5.453044E+04
    7.873385E-01     7.725943E+17     7.725943E+17     2.550939E+01     2.550939E+01     5.453044E+04
    7.874002E-01     7.724019E+17     7.724019E+17     2.549481E+01     2.549481E+01     5.453044E+04
    7.874590E-01     7.722186E+17     7.722186E+17     2.548093E+01     2.548093E+01     5.453044E+04
    7.875160E-01     7.720407E+17     7.720407E+17     2.546747E+01     2.546747E+01     5.453044E+04
    7.875730E-01     7.718631E+17     7.718631E+17     2.545403E+01     2.545403E+01     5.453044E+04
    7.876269E-01     7.716949E+17     7.716949E+17     2.544131E+01     2.544131E+01     5.453044E+04
    7.876808E-01     7.715267E+17     7.715267E+17     2.542859E+01     2.542859E+01     5.453044E+04
    7.877338E-01     7.713614E+17     7.713614E+17     2.541609E+01     2.541609E+01     5.453044E+04
    7.877861E-01     7.711983E+17     7.711983E+17     2.540377E+01     2.540377E+01     5.453044E+04
    7.878381E-01     7.710361E+17     7.710361E+17     2.539151E+01     2.539151E+01     5.453044E+04
    7.878897E-01     7.708751E+17     7.708751E+17     2.537935E+01     2.537935E+01     5.453044E+04
    7.879413E-01     7.707139E+17     7.707139E+17     2.536718E+01     2.536718E+01     5.453044E+04
    7.879931E-01     7.705524E+17     7.705524E+17     2.535499E+01     2.535499E+01     5.453044E+04
    7.880450E-01     7.703906E+17     7.703906E+17     2.534278E+01     2.534278E+01     5.453044E+04
