psi_n              ni(m-3)            ne(m-3)            ti(eV)             te(eV)             wexb(rad/s)
1.382765530E-01    1.371022170E+21    1.371022170E+21    8.395828710E+01    8.395828710E+01    3.411563125E+03 
1.402805610E-01    1.368892790E+21    1.368892790E+21    8.389333330E+01    8.389333330E+01    3.403629267E+03 
1.422845690E-01    1.366763400E+21    1.366763400E+21    8.382817720E+01    8.382817720E+01    3.395695393E+03 
1.442885770E-01    1.364634010E+21    1.364634010E+21    8.376281770E+01    8.376281770E+01    3.387761519E+03 
1.462925850E-01    1.362504620E+21    1.362504620E+21    8.369725390E+01    8.369725390E+01    3.379827661E+03 
1.482965930E-01    1.360375230E+21    1.360375230E+21    8.363148480E+01    8.363148480E+01    3.371893787E+03 
1.503006010E-01    1.358245840E+21    1.358245840E+21    8.356550950E+01    8.356550950E+01    3.363959913E+03 
1.523046090E-01    1.356116450E+21    1.356116450E+21    8.349932710E+01    8.349932710E+01    3.356026055E+03 
1.543086170E-01    1.353987060E+21    1.353987060E+21    8.343293640E+01    8.343293640E+01    3.348092181E+03 
1.563126250E-01    1.351857680E+21    1.351857680E+21    8.336633660E+01    8.336633660E+01    3.340158323E+03 
1.583166330E-01    1.349728290E+21    1.349728290E+21    8.329952670E+01    8.329952670E+01    3.332224449E+03 
1.603206410E-01    1.347598900E+21    1.347598900E+21    8.323250560E+01    8.323250560E+01    3.324290575E+03 
1.623246490E-01    1.345469510E+21    1.345469510E+21    8.316527240E+01    8.316527240E+01    3.316356717E+03 
1.643286570E-01    1.343340120E+21    1.343340120E+21    8.309782610E+01    8.309782610E+01    3.308422843E+03 
1.663326650E-01    1.341210730E+21    1.341210730E+21    8.303016560E+01    8.303016560E+01    3.300488985E+03 
1.683366730E-01    1.339081340E+21    1.339081340E+21    8.296228990E+01    8.296228990E+01    3.292555112E+03 
1.703406810E-01    1.336951950E+21    1.336951950E+21    8.289419800E+01    8.289419800E+01    3.284621238E+03 
1.723446890E-01    1.334822570E+21    1.334822570E+21    8.282588880E+01    8.282588880E+01    3.276687364E+03 
1.743486970E-01    1.332693180E+21    1.332693180E+21    8.275736130E+01    8.275736130E+01    3.268753506E+03 
1.763527050E-01    1.330563790E+21    1.330563790E+21    8.268861450E+01    8.268861450E+01    3.260819648E+03 
1.783567130E-01    1.328434400E+21    1.328434400E+21    8.261964740E+01    8.261964740E+01    3.252885774E+03 
1.803607210E-01    1.326305010E+21    1.326305010E+21    8.255045870E+01    8.255045870E+01    3.244951900E+03 
1.823647290E-01    1.324175620E+21    1.324175620E+21    8.248104760E+01    8.248104760E+01    3.237018042E+03 
1.843687370E-01    1.322046230E+21    1.322046230E+21    8.241141280E+01    8.241141280E+01    3.229084168E+03 
1.863727450E-01    1.319916840E+21    1.319916840E+21    8.234155340E+01    8.234155340E+01    3.221150294E+03 
1.883767540E-01    1.317787450E+21    1.317787450E+21    8.227146810E+01    8.227146810E+01    3.213216436E+03 
1.903807620E-01    1.315658070E+21    1.315658070E+21    8.220115610E+01    8.220115610E+01    3.205282562E+03 
1.923847700E-01    1.313528680E+21    1.313528680E+21    8.213061600E+01    8.213061600E+01    3.197348704E+03 
1.943887780E-01    1.311399290E+21    1.311399290E+21    8.205984690E+01    8.205984690E+01    3.189414830E+03 
1.963927860E-01    1.309269900E+21    1.309269900E+21    8.198884760E+01    8.198884760E+01    3.181480956E+03 
1.983967940E-01    1.307140510E+21    1.307140510E+21    8.191761690E+01    8.191761690E+01    3.173547082E+03 
2.004008020E-01    1.305011120E+21    1.305011120E+21    8.184615380E+01    8.184615380E+01    3.165613224E+03 
2.024048100E-01    1.302881730E+21    1.302881730E+21    8.177445720E+01    8.177445720E+01    3.157679366E+03 
2.044088180E-01    1.300752340E+21    1.300752340E+21    8.170252570E+01    8.170252570E+01    3.149745493E+03 
2.064128260E-01    1.298622960E+21    1.298622960E+21    8.163035840E+01    8.163035840E+01    3.141811619E+03 
2.084168340E-01    1.296493570E+21    1.296493570E+21    8.155795400E+01    8.155795400E+01    3.133877761E+03 
2.104208420E-01    1.294364180E+21    1.294364180E+21    8.148531140E+01    8.148531140E+01    3.125943887E+03 
2.124248500E-01    1.292234790E+21    1.292234790E+21    8.141242940E+01    8.141242940E+01    3.118010013E+03 
2.144288580E-01    1.290105400E+21    1.290105400E+21    8.133930680E+01    8.133930680E+01    3.110076155E+03 
2.164328660E-01    1.287976010E+21    1.287976010E+21    8.126594240E+01    8.126594240E+01    3.102142281E+03 
2.184368740E-01    1.285846620E+21    1.285846620E+21    8.119233500E+01    8.119233500E+01    3.094208423E+03 
2.204408820E-01    1.283717230E+21    1.283717230E+21    8.111848340E+01    8.111848340E+01    3.086274549E+03 
2.224448900E-01    1.281587850E+21    1.281587850E+21    8.104438640E+01    8.104438640E+01    3.078340675E+03 
2.244488980E-01    1.279458460E+21    1.279458460E+21    8.097004280E+01    8.097004280E+01    3.070406817E+03 
2.264529060E-01    1.277329070E+21    1.277329070E+21    8.089545130E+01    8.089545130E+01    3.062472943E+03 
2.284569140E-01    1.275199680E+21    1.275199680E+21    8.082061070E+01    8.082061070E+01    3.054539085E+03 
2.304609220E-01    1.273070290E+21    1.273070290E+21    8.074551970E+01    8.074551970E+01    3.046605211E+03 
2.324649300E-01    1.270940900E+21    1.270940900E+21    8.067017710E+01    8.067017710E+01    3.038671337E+03 
2.344689380E-01    1.268811510E+21    1.268811510E+21    8.059458160E+01    8.059458160E+01    3.030737463E+03 
2.364729460E-01    1.266682120E+21    1.266682120E+21    8.051873200E+01    8.051873200E+01    3.022803605E+03 
2.384769540E-01    1.264552740E+21    1.264552740E+21    8.044262690E+01    8.044262690E+01    3.014869747E+03 
2.404809620E-01    1.262423350E+21    1.262423350E+21    8.036626510E+01    8.036626510E+01    3.006935873E+03 
2.424849700E-01    1.260293960E+21    1.260293960E+21    8.028964520E+01    8.028964520E+01    2.999002000E+03 
