

  ylabel = xi^psi_m

                      psi                      m=1                      m=2                      m=3                      m=4                      m=5                      m=6                      m=7                      m=8
          1.986919575E-04          2.489803526E-05          8.294179190E-07          1.787560106E-07          2.657432404E-08          9.646432676E-11          8.390818866E-10          7.334391551E-10          1.300573139E-10
          2.019429323E-04          2.552328273E-05          8.529635883E-07          1.804354342E-07          2.659159463E-08          2.879209779E-10          9.108788491E-10          7.356475373E-10          1.259978157E-10
          2.055290023E-04          2.620567779E-05          8.787841010E-07          1.822012438E-07          2.659510338E-08          6.350404974E-10          9.868398206E-10          7.354729864E-10          1.210901293E-10
          2.091150723E-04          2.688076758E-05          9.044520619E-07          1.838842141E-07          2.658396562E-08          9.769747103E-10          1.059472250E-09          7.328041203E-10          1.157940844E-10
          2.127011423E-04          2.754888740E-05          9.299743222E-07          1.854919064E-07          2.655972929E-08          1.310014359E-09          1.128856221E-09          7.278775520E-10          1.101682585E-10
          2.162872123E-04          2.821034553E-05          9.553573420E-07          1.870311120E-07          2.652379263E-08          1.633564100E-09          1.195080477E-09          7.209141409E-10          1.042655807E-10
          2.198732823E-04          2.886542536E-05          9.806072201E-07          1.885079288E-07          2.647741976E-08          1.947509188E-09          1.258239942E-09          7.121193818E-10          9.813376940E-11
          2.234593523E-04          2.951438722E-05          1.005729721E-06          1.899278290E-07          2.642175426E-08          2.251895815E-09          1.318433768E-09          7.016839532E-10          9.181574927E-11
          2.270454223E-04          3.015747021E-05          1.030730298E-06          1.912957199E-07          2.635783133E-08          2.546850610E-09          1.375763703E-09          6.897843407E-10          8.535005981E-11
          2.306314923E-04          3.079489380E-05          1.055614118E-06          1.926159990E-07          2.628658855E-08          2.832550137E-09          1.430332807E-09          6.765835526E-10          7.877124929E-11
          2.345841463E-04          3.149116160E-05          1.082912266E-06          1.940207849E-07          2.620059799E-08          3.136985697E-09          1.487405354E-09          6.607054796E-10          7.142582943E-11
          2.385368003E-04          3.218104415E-05          1.110080725E-06          1.953771868E-07          2.610777130E-08          3.430750530E-09          1.541386760E-09          6.436132746E-10          6.401737435E-11
          2.424894543E-04          3.286476486E-05          1.137125368E-06          1.966893389E-07          2.600902983E-08          3.714187148E-09          1.592412635E-09          6.254748657E-10          5.657859433E-11
          2.464421083E-04          3.354252633E-05          1.164051754E-06          1.979608809E-07          2.590520085E-08          3.987655771E-09          1.640615879E-09          6.064429035E-10          4.913868485E-11
          2.503947622E-04          3.421451205E-05          1.190865154E-06          1.991950079E-07          2.579702728E-08          4.251528054E-09          1.686126065E-09          5.866559211E-10          4.172416489E-11
