epsilon,delta_prime_21_real,delta_prime_21_imag,delta_prime_31_real,delta_prime_31_imag,delta_W_plasma,delta_W_vacuum,delta_W_total,q_edge
6.4175000000e-01,7.1310525593e+00,-9.1197913002e-03,4.8935448713e+01,9.1966170458e-03,-1.2458686988e+00,1.3949032821e+00,1.4903458328e-01,3.5999538515e+00
6.4450000000e-01,8.5794762147e+00,-3.0879017180e-02,5.7488861593e+01,-4.6259366964e-03,-1.2730222319e+00,1.4034083471e+00,1.3038611525e-01,3.5999815668e+00
6.4725000000e-01,1.0404988487e+01,1.3523447837e-02,6.9278925001e+01,-1.0384257899e-04,-1.3006934686e+00,1.4119377417e+00,1.1124427305e-01,3.5999947721e+00
6.5000000000e-01,1.3106897446e+01,9.8705557777e-03,8.6537579800e+01,6.6097500285e-03,-1.3289346338e+00,1.4205031613e+00,9.1568527548e-02,3.5999818566e+00
6.5125000000e-01,1.4891761011e+01,7.8103608305e-03,9.7445114349e+01,5.0594385916e-03,-1.3420141130e+00,1.4244078030e+00,8.2393690040e-02,3.5999421297e+00
6.5375000000e-01,1.9545939091e+01,1.2510612626e-02,1.2830307402e+02,2.0562511747e-02,-1.3681106510e+00,1.4322222861e+00,6.4111635114e-02,3.6000030866e+00
6.5500000000e-01,2.3464178288e+01,-3.9693193465e-03,1.5194920852e+02,-1.1819085546e-02,-1.3813836494e+00,1.4361424667e+00,5.4758817361e-02,3.6000232357e+00
6.5625000000e-01,2.8896225019e+01,-1.8494863807e-02,1.8581309314e+02,2.9573168022e-03,-1.3948241238e+00,1.4400740881e+00,4.5249964299e-02,3.6000004948e+00
6.5750000000e-01,3.7335288221e+01,-1.1032633494e-02,2.3856732763e+02,1.6237532574e-02,-1.4083681064e+00,1.4440114361e+00,3.5643329637e-02,3.5999921787e+00
6.5875000000e-01,5.2328007897e+01,-1.2899193517e-02,3.3083661998e+02,9.9777340573e-03,-1.4220433152e+00,1.4479610430e+00,2.5917727807e-02,3.5999706175e+00
6.6000000000e-01,8.4206673446e+01,-3.5715202450e-03,5.3104225968e+02,1.8936082545e-02,-1.4357164022e+00,1.4519142102e+00,1.6197808047e-02,3.5999855011e+00
6.6125000000e-01,2.0957282158e+02,-3.3190747415e-03,1.3139112801e+03,-1.9493295972e-02,-1.4495063645e+00,1.4558738767e+00,6.3675122530e-03,3.6000037775e+00
