 IPEC_PMODB_CHEBYSHEV: Chebyshev coefficients for perturbed mod b
 
       nche =  20      mpert =  33
 
 mfac =  -12
      1   7.28033186E-05  -2.96935593E-04
      2   3.50211266E-05  -2.12495288E-04
      3   1.05917562E-04  -2.94428136E-04
      4   8.91705714E-05  -2.19704774E-04
      5   8.04812978E-05  -1.93487693E-04
      6   7.69630321E-05  -1.88480062E-04
      7   4.90783087E-05  -1.22040459E-04
      8   5.11958347E-05  -1.32553808E-04
      9   2.47789212E-05  -5.23910654E-05
     10   3.09849345E-05  -7.38396598E-05
     11   1.82917663E-06   3.47772582E-06
     12   7.46937921E-06  -2.54034075E-05
     13  -1.60686563E-05   3.99388974E-05
     14  -4.46325359E-06   1.64311107E-06
     15  -2.34734331E-05   6.41055608E-05
     16  -9.88944776E-06   2.38650878E-05
     17  -2.94656318E-05   7.97121535E-05
     18  -1.20692720E-05   2.61028235E-05
     19  -2.71359157E-05   7.19148522E-05
     20  -1.08039573E-05   2.04669081E-05
 
 mfac =    1
 
   chea       real(chea)       imag(chea)
      0   2.25240078E-05  -8.93703806E-05
      1  -3.83110685E-05  -8.81132107E-05
      2  -5.50907815E-05  -1.96594806E-05
      3  -6.95160289E-07   2.93022459E-05
      4   1.72763123E-05   6.80496770E-05
      5   2.26361874E-05   5.45684434E-05
      6   9.35407363E-06   2.95636776E-05
      7   7.09211679E-06   6.16759282E-07
      8   1.06760088E-05   8.13274746E-07
      9   1.90509597E-05   1.32629665E-05
     10   1.57829337E-05   2.85234724E-05
     11   6.02479146E-06   2.51317292E-05
     12  -5.30215664E-06   1.04554125E-05
     13  -1.08830575E-05  -6.83774734E-06
     14  -1.08516439E-05  -1.08487228E-05
     15  -3.19694551E-06  -5.06774455E-06
     16   1.34458126E-06   2.21022671E-06
     17  -9.94691948E-07  -1.08147470E-06
     18  -4.80277257E-06  -1.14931640E-05
     19  -4.13744067E-06  -2.07046936E-05
     20  -7.43788528E-07  -1.90075187E-05
 
 mfac =    2
 
   chea       real(chea)       imag(chea)
      0   5.08350861E-05   7.15241762E-05
      1   1.03205265E-04   8.42452725E-06
      2   4.94557840E-05   2.46737105E-05
      3  -2.66017549E-05  -5.36938150E-06
      4  -3.85513033E-05  -5.23537047E-05
      5  -4.24353714E-05  -3.20697044E-05
      6  -2.59416963E-05  -2.39289115E-05
      7  -1.30573722E-05  -1.07839539E-06
      8  -1.44382460E-05  -4.37510561E-06
      9  -2.33456362E-05  -7.79251384E-06
     10  -3.56329683E-05  -1.17458684E-05
     11  -3.44562645E-05  -7.61245327E-07
     12  -2.63735942E-05   5.86069364E-06
     13  -1.52155129E-05   1.76426089E-05
     14  -9.91043914E-06   1.56417983E-05
     15  -1.48018332E-06   6.49594613E-06
     16   7.02191517E-06  -8.38361350E-06
     17   1.90180234E-05  -5.25612959E-06
     18   2.72470330E-05  -2.39090148E-06
     19   3.37667183E-05   4.44012156E-06
     20   3.10062995E-05   1.61899920E-06
 
 mfac =    3
 
   chea       real(chea)       imag(chea)
      0   1.62490383E-05  -6.03089198E-05
      1   3.45970339E-05  -1.09390186E-04
      2   3.34720798E-05  -6.56948247E-05
      3   2.32958607E-05  -1.36861376E-05
      4   9.36088667E-06   2.07626179E-05
      5  -8.89818560E-06   4.11898712E-05
      6  -2.93800651E-05   5.29708181E-05
      7  -4.36689230E-05   6.03664544E-05
      8  -4.67079455E-05   6.33850140E-05
      9  -3.67492769E-05   5.90098602E-05
     10  -1.93965665E-05   4.51697280E-05
     11  -2.66013933E-06   2.57223482E-05
     12   7.80624562E-06   7.11637996E-06
     13   1.22575219E-05  -5.57562963E-06
     14   1.36825246E-05  -1.31664074E-05
     15   1.39952910E-05  -1.81341663E-05
     16   1.30758702E-05  -2.24559538E-05
     17   9.81709867E-06  -2.46485047E-05
     18   3.90718919E-06  -2.31847752E-05
     19  -1.63122920E-06  -1.92576951E-05
     20  -3.12734087E-06  -1.55626554E-05
 
 mfac =    4
 
   chea       real(chea)       imag(chea)
      0   6.87948469E-06   4.36786289E-06
      1   1.67992963E-05   6.06464130E-07
      2   1.84129740E-05  -9.04890090E-06
      3   1.39335303E-05  -1.09983318E-05
      4   8.32685337E-06  -1.13071763E-05
      5   2.49061380E-06  -1.06559204E-05
      6  -3.85649350E-06  -8.51198299E-06
      7  -9.58791211E-06  -4.53675423E-06
      8  -1.37537411E-05   8.54807747E-07
      9  -1.58240506E-05   5.71725952E-06
     10  -1.65419548E-05   9.34903495E-06
     11  -1.71097449E-05   1.24893305E-05
     12  -1.76159120E-05   1.57545487E-05
     13  -1.66700850E-05   1.79589993E-05
     14  -1.30214500E-05   1.84350378E-05
     15  -6.97395714E-06   1.71262984E-05
     16   2.57647176E-07   1.31386720E-05
     17   7.04594214E-06   6.13005061E-06
     18   1.20414920E-05  -1.76122279E-06
     19   1.51087546E-05  -8.46896370E-06
     20   1.67110135E-05  -1.31877909E-05
 
 mfac =    5
 
   chea       real(chea)       imag(chea)
      0  -1.73470270E-05   2.52943409E-05
      1  -2.86613247E-05   4.08243444E-05
      2  -1.71074060E-05   2.16864511E-05
      3  -6.92871615E-06   5.07852225E-06
      4   2.61532906E-06  -7.17843756E-06
      5   1.11633746E-05  -1.45265990E-05
      6   1.65745354E-05  -1.78223033E-05
      7   1.81621027E-05  -1.93626901E-05
      8   1.66836196E-05  -2.02499220E-05
      9   1.39674498E-05  -2.02379547E-05
     10   1.13711518E-05  -1.82184378E-05
     11   8.76860136E-06  -1.33515620E-05
     12   5.60739424E-06  -6.62747173E-06
     13   2.07789299E-06  -6.92885400E-07
     14  -1.38495150E-06   2.89613785E-06
     15  -4.34943875E-06   4.64860212E-06
     16  -5.99924398E-06   5.42983633E-06
     17  -6.16492826E-06   5.97071903E-06
     18  -5.93595884E-06   6.82910581E-06
     19  -6.20172266E-06   7.55129679E-06
     20  -6.88799985E-06   7.45903467E-06
 
 mfac =    6
 
   chea       real(chea)       imag(chea)
      0  -3.12551432E-05   3.10688577E-05
      1  -5.44131076E-05   5.41706682E-05
      2  -3.65553028E-05   3.70331974E-05
      3  -1.77731935E-05   1.95520209E-05
      4  -4.09827363E-07   3.76894242E-06
      5   1.43942981E-05  -9.50651373E-06
      6   2.49301338E-05  -1.95891486E-05
      7   3.10185013E-05  -2.70080476E-05
      8   3.35232070E-05  -3.21823696E-05
      9   3.35335681E-05  -3.50620982E-05
     10   3.16141059E-05  -3.51957355E-05
     11   2.74667480E-05  -3.20146917E-05
     12   2.09879984E-05  -2.58614546E-05
     13   1.29491642E-05  -1.81685229E-05
     14   4.18606013E-06  -9.99424195E-06
     15  -4.57975871E-06  -1.68288809E-06
     16  -1.21239137E-05   6.09045181E-06
     17  -1.74920616E-05   1.26208936E-05
     18  -2.07211641E-05   1.77066580E-05
     19  -2.20470090E-05   2.10497406E-05
     20  -2.14783306E-05   2.23708371E-05
 
 mfac =    7
 
   chea       real(chea)       imag(chea)
      0  -1.37280314E-05   1.64285598E-05
      1  -2.33386858E-05   2.77007493E-05
      2  -1.49859005E-05   1.68436297E-05
      3  -7.53988965E-06   6.47604786E-06
      4  -1.18372559E-06  -2.20441171E-06
      5   4.73542393E-06  -9.05052296E-06
      6   9.45671313E-06  -1.33933255E-05
      7   1.25431600E-05  -1.54726948E-05
      8   1.42252091E-05  -1.59818030E-05
      9   1.48734132E-05  -1.54734180E-05
     10   1.45689510E-05  -1.40671577E-05
     11   1.30080250E-05  -1.13865669E-05
     12   1.02335409E-05  -7.49806262E-06
     13   6.85385470E-06  -3.27116934E-06
     14   3.18134235E-06   6.97957064E-07
     15  -7.54191376E-07   4.26115236E-06
     16  -4.42269991E-06   6.93604259E-06
     17  -7.19863106E-06   8.37091361E-06
     18  -9.04439165E-06   8.86236381E-06
     19  -1.00551684E-05   8.68413630E-06
     20  -1.01691389E-05   7.84998415E-06
 
 mfac =    8
 
   chea       real(chea)       imag(chea)
      0  -1.09888655E-05   1.26080424E-05
      1  -1.89586712E-05   2.17547778E-05
      2  -1.26919505E-05   1.43640768E-05
      3  -6.92756290E-06   7.17674439E-06
      4  -1.86885429E-06   9.18985919E-07
      5   3.18632882E-06  -4.57957291E-06
      6   7.59956257E-06  -8.80234575E-06
      7   1.06289045E-05  -1.15483067E-05
      8   1.22855212E-05  -1.30267524E-05
      9   1.29003975E-05  -1.35007957E-05
     10   1.25452289E-05  -1.30634676E-05
     11   1.10712623E-05  -1.15440985E-05
     12   8.67103711E-06  -8.99482859E-06
     13   5.87017038E-06  -5.93427319E-06
     14   2.90157866E-06  -2.76412651E-06
     15  -2.50710560E-07   3.44479602E-07
     16  -3.25436841E-06   3.05444000E-06
     17  -5.63508743E-06   5.12457326E-06
     18  -7.30837614E-06   6.66501668E-06
     19  -8.39371176E-06   7.71090586E-06
     20  -8.81825250E-06   8.16145441E-06
 
 mfac =    9
 
   chea       real(chea)       imag(chea)
      0  -6.25667385E-06   7.34491732E-06
      1  -1.04378508E-05   1.23209121E-05
      2  -6.25495118E-06   7.40852905E-06
      3  -2.84229668E-06   3.06825941E-06
      4  -4.06005866E-07  -2.66177684E-07
      5   1.88444697E-06  -3.14127296E-06
      6   3.93583687E-06  -5.34511981E-06
      7   5.31841930E-06  -6.59209777E-06
      8   6.04233375E-06  -7.04047873E-06
      9   6.34617623E-06  -7.01155947E-06
     10   6.25793517E-06  -6.56995007E-06
     11   5.60154484E-06  -5.51110317E-06
     12   4.42211796E-06  -3.94009996E-06
     13   3.03992908E-06  -2.33476344E-06
     14   1.58808523E-06  -8.53509098E-07
     15   2.96530437E-08   6.39863095E-07
     16  -1.45618072E-06   1.97711570E-06
     17  -2.61163471E-06   2.89059019E-06
     18  -3.46287258E-06   3.46332413E-06
     19  -4.11388842E-06   3.86878199E-06
     20  -4.48781767E-06   4.05198157E-06
 
 mfac =   10
 
   chea       real(chea)       imag(chea)
      0  -4.62202553E-06   5.64947808E-06
      1  -7.58314856E-06   9.52147081E-06
      2  -4.20151587E-06   5.76211338E-06
      3  -1.49613625E-06   2.40435311E-06
      4   1.93168454E-07  -4.67902257E-08
      5   1.64213937E-06  -2.07418510E-06
      6   2.95034917E-06  -3.72438477E-06
      7   3.77249487E-06  -4.80969562E-06
      8   4.13752271E-06  -5.36579059E-06
      9   4.29683028E-06  -5.54581801E-06
     10   4.20792584E-06  -5.34465621E-06
     11   3.65457246E-06  -4.63311673E-06
     12   2.71107484E-06  -3.49204844E-06
     13   1.68873601E-06  -2.23747074E-06
     14   6.95446887E-07  -1.01695132E-06
     15  -3.52865466E-07   2.01078982E-07
     16  -1.32593582E-06   1.30591052E-06
     17  -1.98146220E-06   2.12905627E-06
     18  -2.36019454E-06   2.70183663E-06
     19  -2.66575921E-06   3.10455380E-06
     20  -2.86552948E-06   3.29675398E-06
 
 mfac =   11
 
   chea       real(chea)       imag(chea)
      0  -3.62601289E-06   4.04951077E-06
      1  -5.95285694E-06   6.74785000E-06
      2  -3.22004844E-06   3.84467108E-06
      3  -9.34426354E-07   1.25006481E-06
      4   4.30467216E-07  -4.75077329E-07
      5   1.40349934E-06  -1.69636686E-06
      6   2.22746316E-06  -2.62485472E-06
      7   2.77335772E-06  -3.24106095E-06
      8   3.03193701E-06  -3.55942562E-06
      9   3.13098280E-06  -3.63689153E-06
     10   3.06060263E-06  -3.46139709E-06
     11   2.69654902E-06  -2.94650642E-06
     12   2.05584289E-06  -2.14052227E-06
     13   1.31396103E-06  -1.25723974E-06
     14   5.54296054E-07  -4.27691697E-07
     15  -2.22688887E-07   3.33003577E-07
     16  -9.21830622E-07   9.69533744E-07
     17  -1.41305517E-06   1.42680451E-06
     18  -1.72542285E-06   1.74260307E-06
     19  -1.96136465E-06   1.95418412E-06
     20  -2.09190439E-06   2.02281607E-06
 
 mfac =   12
 
   chea       real(chea)       imag(chea)
      0  -2.93519471E-06   3.17396167E-06
      1  -4.83112804E-06   5.25528053E-06
      2  -2.57450050E-06   2.88461804E-06
      3  -5.88377368E-07   7.65784317E-07
      4   5.86496472E-07  -5.71906293E-07
      5   1.30011840E-06  -1.42433298E-06
      6   1.82985653E-06  -2.02292303E-06
      7   2.15697672E-06  -2.38959461E-06
      8   2.30351742E-06  -2.57495234E-06
      9   2.36151639E-06  -2.65543579E-06
     10   2.30671670E-06  -2.57479747E-06
     11   2.03860915E-06  -2.19952319E-06
     12   1.56656955E-06  -1.57263912E-06
     13   9.92954600E-07  -9.12321619E-07
     14   3.86862997E-07  -3.14883928E-07
     15  -2.19008690E-07   2.53752325E-07
     16  -7.56063880E-07   7.48989540E-07
     17  -1.13790957E-06   1.08380385E-06
     18  -1.37070304E-06   1.29426710E-06
     19  -1.53731159E-06   1.45829834E-06
     20  -1.62267229E-06   1.54019606E-06
 
 mfac =   13
 
   chea       real(chea)       imag(chea)
      0  -2.38257615E-06   2.58574181E-06
      1  -3.91533654E-06   4.28905892E-06
      2  -2.03255038E-06   2.32395614E-06
      3  -3.22715447E-07   4.87804385E-07
      4   6.96795860E-07  -6.74997028E-07
      5   1.23967154E-06  -1.31066180E-06
      6   1.55446944E-06  -1.66783727E-06
      7   1.69478709E-06  -1.87196332E-06
      8   1.72157441E-06  -1.98048465E-06
      9   1.72786511E-06  -2.02036555E-06
     10   1.67859662E-06  -1.95218705E-06
     11   1.46794826E-06  -1.67711245E-06
     12   1.09556309E-06  -1.20324549E-06
     13   6.63921003E-07  -6.76581209E-07
     14   2.22201561E-07  -1.86805861E-07
     15  -2.27115380E-07   2.60890145E-07
     16  -6.26293644E-07   6.29038128E-07
     17  -8.90307424E-07   8.79340501E-07
     18  -1.03216931E-06   1.04675274E-06
     19  -1.13853000E-06   1.16100538E-06
     20  -1.19425104E-06   1.18983902E-06
 
 mfac =   14
 
   chea       real(chea)       imag(chea)
      0  -2.03014643E-06   2.19352444E-06
      1  -3.37434740E-06   3.67341538E-06
      2  -1.80537160E-06   2.02518923E-06
      3  -2.79137833E-07   3.86413298E-07
      4   6.90173219E-07  -6.92838767E-07
      5   1.16170511E-06  -1.22557477E-06
      6   1.36457756E-06  -1.45702429E-06
      7   1.42959829E-06  -1.57849672E-06
      8   1.42902494E-06  -1.64847684E-06
      9   1.41309814E-06  -1.65561892E-06
     10   1.35955008E-06  -1.57162723E-06
     11   1.20486800E-06  -1.35251503E-06
     12   9.30470955E-07  -9.87291005E-07
     13   5.77164737E-07  -5.46018069E-07
     14   1.98597633E-07  -1.14516837E-07
     15  -1.70754655E-07   2.47624809E-07
     16  -4.86135305E-07   5.17685960E-07
     17  -7.10592010E-07   7.16837043E-07
     18  -8.60483761E-07   8.69716595E-07
     19  -9.61020130E-07   9.59302840E-07
     20  -9.97281953E-07   9.57296062E-07
 
 mfac =   15
 
   chea       real(chea)       imag(chea)
      0  -1.79784808E-06   1.90920979E-06
      1  -3.03284504E-06   3.21554220E-06
      2  -1.68415318E-06   1.79050810E-06
      3  -2.73345139E-07   3.24517736E-07
      4   6.88227905E-07  -6.69506954E-07
      5   1.16060473E-06  -1.16478666E-06
      6   1.32935111E-06  -1.35155705E-06
      7   1.34334028E-06  -1.39425179E-06
      8   1.29747892E-06  -1.39392975E-06
      9   1.23969282E-06  -1.37853760E-06
     10   1.14473041E-06  -1.30081016E-06
     11   9.86162548E-07  -1.10374306E-06
     12   7.50773765E-07  -7.92340426E-07
     13   4.33700890E-07  -4.26088869E-07
     14   8.32852493E-08  -7.25688204E-08
     15  -2.26052677E-07   2.24876366E-07
     16  -4.71766132E-07   4.55399687E-07
     17  -6.57493335E-07   6.18171741E-07
     18  -7.74631834E-07   7.22514814E-07
     19  -8.36440600E-07   7.85594872E-07
     20  -8.37744460E-07   7.95895459E-07
 
 mfac =   16
 
   chea       real(chea)       imag(chea)
      0  -1.61903624E-06   1.68894161E-06
      1  -2.75818509E-06   2.86336017E-06
      2  -1.59212095E-06   1.63540595E-06
