 IPEC_CONTROL: Plasma response for an external perturbation on the control surface
 
      mpert =  33
  vacuum energy =   2.99164167E+01
 surface energy =   3.15643492E+01
  plasma energy =   3.02424818E+01
 
 jac_type = hamada          
 
    m        real(bin)        imag(bin)       real(bout)       imag(bout)
  -35   2.89213041E-06  -5.87474257E-07   1.51391939E-06  -1.91835189E-06
  -34   3.17460493E-06  -7.21970236E-07   1.61835387E-06  -2.22991431E-06
  -33   3.34202150E-06  -8.46736162E-07   1.59808371E-06  -2.53402981E-06
  -32   3.43718427E-06  -9.69008179E-07   1.51585804E-06  -2.81109174E-06
  -31   3.34225122E-06  -1.15283884E-06   1.25355631E-06  -3.12616838E-06
  -30   3.02637347E-06  -1.30835297E-06   7.78887199E-07  -3.36606011E-06
  -29   2.40006592E-06  -1.58638001E-06   2.59538437E-08  -3.67152385E-06
  -28   1.41088505E-06  -1.92293218E-06  -1.08438447E-06  -3.97215009E-06
  -27  -2.28575265E-08  -2.38291904E-06  -2.60470377E-06  -4.31507356E-06
  -26  -1.90444490E-06  -3.02025907E-06  -4.55180611E-06  -4.76128308E-06
  -25  -4.32619394E-06  -3.87789276E-06  -7.02336494E-06  -5.34603558E-06
  -24  -7.15643673E-06  -5.03970493E-06  -9.88222387E-06  -6.18246363E-06
  -23  -1.03405640E-05  -6.59914372E-06  -1.30908529E-05  -7.39533802E-06
  -22  -1.37166080E-05  -8.48229256E-06  -1.64742884E-05  -8.97527861E-06
  -21  -1.70467317E-05  -1.09146801E-05  -1.97653538E-05  -1.11650320E-05
  -20  -1.99506170E-05  -1.35509552E-05  -2.25806214E-05  -1.37222734E-05
  -19  -2.23603145E-05  -1.65246425E-05  -2.46889491E-05  -1.67340106E-05
  -18  -2.35144006E-05  -1.92361994E-05  -2.52825082E-05  -1.96087307E-05
  -17  -2.38874971E-05  -2.14167302E-05  -2.45063981E-05  -2.19438835E-05
  -16  -2.24824726E-05  -2.24944969E-05  -2.12345920E-05  -2.29142651E-05
  -15  -2.02013789E-05  -2.16515357E-05  -1.59879457E-05  -2.15425273E-05
  -14  -1.59062603E-05  -1.90671370E-05  -7.46271136E-06  -1.76375597E-05
  -13  -9.31268193E-06  -1.40053689E-05   4.77367532E-06  -1.05873180E-05
  -12   8.74157989E-07  -8.02257273E-06   2.21723183E-05  -2.02759427E-06
  -11   1.53771023E-05  -1.17383280E-06   4.54927626E-05   7.74995037E-06
  -10   3.27922145E-05   7.57139268E-06   7.35527137E-05   1.94240276E-05
   -9   5.34153474E-05   2.00814647E-05   1.06987687E-04   3.49142514E-05
   -8   7.66918087E-05   3.41239360E-05   1.46329982E-04   5.21073095E-05
   -7   9.77058134E-05   5.13962454E-05   1.83303305E-04   7.47457180E-05
   -6   1.26746523E-04   7.06356023E-05   2.28674320E-04   9.63859168E-05
   -5   1.44871606E-04   6.84105413E-05   2.55153855E-04   8.93200341E-05
   -4   1.56270808E-04   6.50179807E-05   2.81900175E-04   1.04082733E-04
   -3   1.77415746E-04   8.71449670E-05   2.85813197E-04   8.35278396E-05
   -2   2.18433097E-04   1.32341168E-04   3.17712925E-04   1.56817817E-04
   -1   2.53091348E-04   9.80678175E-05   3.25521300E-04   7.48337430E-05
    0  -4.82059999E-04  -1.70875700E-04  -4.83238888E-04  -1.72377665E-04
    1   3.63629161E-04   1.04950129E-04   2.59185714E-04   1.18277197E-04
    2   1.42437847E-04   4.94292501E-05   8.23547107E-05  -6.52819185E-05
    3   7.41669828E-05   1.66589297E-05   2.02369339E-06   2.04445039E-05
    4   2.73062072E-05   5.91271441E-06  -6.68580572E-07  -1.62644862E-06
    5   2.11569145E-05  -1.69800396E-05  -5.99168331E-05  -5.39575696E-05
    6   7.64666022E-06  -3.54363785E-05  -7.68234393E-05  -6.15902004E-05
    7  -9.13839013E-06  -3.75973919E-05  -9.85287534E-05  -9.17284013E-05
    8  -1.81404065E-05  -3.48501058E-05  -9.98059822E-05  -8.48826091E-05
    9  -1.95605323E-05  -3.32161782E-05  -8.47992999E-05  -7.66431677E-05
   10  -1.71905882E-05  -3.04114719E-05  -6.65323048E-05  -7.29829828E-05
   11  -1.30821726E-05  -2.43415443E-05  -4.83692922E-05  -5.98118472E-05
   12  -7.53996134E-06  -1.69236059E-05  -3.14361942E-05  -4.26788832E-05
   13  -1.70835192E-06  -9.86105037E-06  -1.77582168E-05  -2.88697213E-05
   14   3.78590546E-06  -3.67556447E-06  -6.12028720E-06  -1.66443206E-05
   15   8.44270087E-06   1.79109838E-06   3.35826290E-06  -6.69086815E-06
   16   1.25060523E-05   6.42690523E-06   1.04129879E-05   1.51833434E-06
   17   1.52635294E-05   9.70767848E-06   1.51582565E-05   7.45402560E-06
   18   1.73894628E-05   1.23968850E-05   1.84124524E-05   1.20091526E-05
   19   1.81676153E-05   1.38047748E-05   1.99720082E-05   1.47519442E-05
   20   1.84749324E-05   1.44502060E-05   2.07401695E-05   1.63340676E-05
   21   1.79201131E-05   1.44704408E-05   2.05320810E-05   1.69384900E-05
   22   1.71209608E-05   1.39726109E-05   1.99434874E-05   1.67922825E-05
   23   1.59255169E-05   1.32571860E-05   1.88750292E-05   1.62130546E-05
   24   1.45792431E-05   1.22162801E-05   1.75705592E-05   1.51731336E-05
   25   1.30611873E-05   1.10533246E-05   1.60231741E-05   1.39111225E-05
   26   1.14884047E-05   9.78958913E-06   1.43766927E-05   1.24958595E-05
   27   9.86152345E-06   8.43306545E-06   1.26474582E-05   1.09594584E-05
   28   8.30270533E-06   7.10735123E-06   1.09474542E-05   9.45068331E-06
   29   6.82655666E-06   5.83322971E-06   9.32476060E-06   7.98924965E-06
   30   5.49491614E-06   4.64882062E-06   7.82009249E-06   6.62340771E-06
   31   4.27850503E-06   3.63538026E-06   6.42423239E-06   5.44111821E-06
   32   3.27632726E-06   2.71294361E-06   5.23523171E-06   4.35641702E-06
   33   2.39918010E-06   1.96650067E-06   4.15939606E-06   3.45303188E-06
   34   1.72527877E-06   1.35671316E-06   3.29917704E-06   2.69437621E-06
   35   1.16099564E-06   8.44469437E-07   2.55131157E-06   2.03294376E-06
   36   7.44577578E-07   5.00239524E-07   1.95928624E-06   1.55100754E-06
   37   4.02713708E-07   1.82526562E-07   1.46046131E-06   1.09909631E-06
   38   1.73834777E-07  -1.80991646E-09   1.07269694E-06   7.91282716E-07
   39  -9.36398445E-09  -1.52424386E-07   7.55409182E-07   5.24221299E-07
   40  -1.33290843E-07  -2.46970459E-07   5.01931732E-07   3.25411698E-07
   41  -2.01149703E-07  -2.95694830E-07   3.21816485E-07   1.83513977E-07
   42  -2.77507275E-07  -3.22407009E-07   1.48024133E-07   7.20859476E-08
   43  -2.90971657E-07  -3.52283947E-07   4.68756501E-08  -2.69679976E-08
   44  -2.89929373E-07  -3.39192376E-07  -2.54992116E-08  -8.34724489E-08
   45  -2.97724931E-07  -3.21884748E-07  -8.97508098E-08  -1.22417467E-07
   46  -2.90814145E-07  -3.23989986E-07  -1.31892641E-07  -1.70051390E-07
   47  -2.58168904E-07  -2.97881431E-07  -1.42882201E-07  -1.86629600E-07
   48  -2.50459772E-07  -2.66456698E-07  -1.65119883E-07  -1.90784665E-07
   49  -2.33311173E-07  -2.48564583E-07  -1.75091287E-07  -1.97173192E-07
   50  -2.08572229E-07  -2.25438437E-07  -1.73872670E-07  -1.95154360E-07
   51  -1.87752314E-07  -1.97452061E-07  -1.70115817E-07  -1.84335166E-07
   52  -1.69861597E-07  -1.77072090E-07  -1.64689663E-07  -1.75263117E-07
   53  -1.47985204E-07  -1.52514754E-07  -1.52985346E-07  -1.59642485E-07
   54  -1.35308719E-07  -1.37533049E-07  -1.46493334E-07  -1.50977601E-07
   55  -1.11571275E-07  -1.23404928E-07  -1.28605065E-07  -1.41163505E-07
   56  -9.34781927E-08  -1.03432567E-07  -1.12877227E-07  -1.26115443E-07
   57  -8.29220279E-08  -8.93548359E-08  -1.02787018E-07  -1.13773816E-07
   58  -6.83722699E-08  -7.83719633E-08  -8.92495368E-08  -1.02813991E-07
   59  -5.58427131E-08  -6.23183026E-08  -7.74538174E-08  -8.72201667E-08
   60  -5.12047521E-08  -5.03675199E-08  -7.23067569E-08  -7.39411939E-08
   61  -4.21649107E-08  -4.38019011E-08  -6.37192648E-08  -6.46380916E-08
   62  -3.27667052E-08  -3.18126968E-08  -5.41272151E-08  -5.10127503E-08
   63  -3.06058120E-08  -2.33929572E-08  -5.03599450E-08  -3.97332163E-08
   64  -2.42438466E-08  -1.78705801E-08  -4.25465128E-08  -3.09207689E-08
 
    jac_out = boozer    jsurf_out = 0  tmag_out = 1
 
    m        real(bin)        imag(bin)       real(bout)       imag(bout)
  -64   1.63532155E-09  -3.23815571E-11   1.11231828E-09  -5.77557230E-10
  -63   2.76199125E-09   8.14342572E-10   2.40154312E-09   1.78072591E-10
  -62   2.06831416E-09  -5.04661245E-10   1.71233925E-09  -1.12893563E-09
  -61   1.49837715E-09  -9.55012885E-10   8.02068404E-10  -1.67981700E-09
  -60   2.39757180E-09  -9.70752841E-10   1.45702594E-09  -1.90900111E-09
  -59   3.92499770E-09  -1.08608400E-09   2.85013042E-09  -2.35497926E-09
  -58   4.16168309E-09  -1.02426291E-09   2.99217585E-09  -2.55431693E-09
  -57   4.75098168E-09  -1.06243612E-09   3.39317169E-09  -2.72652592E-09
  -56   5.10563558E-09  -1.45450214E-09   3.51555986E-09  -3.36984197E-09
  -55   5.59533783E-09  -1.36450653E-09   3.74842145E-09  -3.63189660E-09
  -54   7.22737719E-09  -1.76493542E-09   5.03660502E-09  -4.38930735E-09
  -53   9.12446691E-09  -3.61158466E-09   6.52444673E-09  -6.87042991E-09
  -52   9.95726806E-09  -4.38071591E-09   6.87827649E-09  -8.33907549E-09
  -51   1.09221514E-08  -2.68557286E-09   7.30873568E-09  -7.31895268E-09
  -50   1.28795549E-08  -3.82909934E-09   8.74648854E-09  -9.05304165E-09
  -49   1.67203113E-08  -6.22604673E-09   1.16185651E-08  -1.25484751E-08
  -48   2.00769448E-08  -7.15188248E-09   1.40535258E-08  -1.50624960E-08
  -47   2.49846135E-08  -8.54135422E-09   1.78496517E-08  -1.81745914E-08
  -46   2.97239066E-08  -1.05569527E-08   2.11344727E-08  -2.24490228E-08
  -45   3.71778592E-08  -1.29492341E-08   2.65618313E-08  -2.76381560E-08
  -44   4.89376385E-08  -1.52748623E-08   3.59161293E-08  -3.38050623E-08
  -43   6.33542699E-08  -1.95706913E-08   4.74993848E-08  -4.30763916E-08
  -42   8.05619499E-08  -2.38350541E-08   6.09567152E-08  -5.37178697E-08
  -41   1.04255498E-07  -2.93785420E-08   7.97618440E-08  -6.73767335E-08
  -40   1.36231488E-07  -3.65155696E-08   1.05634059E-07  -8.52323512E-08
  -39   1.76310030E-07  -4.39112179E-08   1.38083078E-07  -1.06384792E-07
  -38   2.27779315E-07  -5.23331801E-08   1.80024109E-07  -1.32109959E-07
  -37   2.93374635E-07  -6.52911072E-08   2.33673715E-07  -1.66891831E-07
  -36   3.73535681E-07  -7.87425199E-08   2.99107679E-07  -2.07735558E-07
  -35   4.71274179E-07  -9.19630556E-08   3.79104449E-07  -2.54393076E-07
  -34   5.90039330E-07  -1.07593744E-07   4.76865445E-07  -3.10132923E-07
  -33   7.27272508E-07  -1.25366737E-07   5.89467912E-07  -3.75356998E-07
  -32   8.80118408E-07  -1.41324655E-07   7.14345654E-07  -4.45618722E-07
  -31   1.04668645E-06  -1.55672269E-07   8.50099701E-07  -5.19814365E-07
  -30   1.21376822E-06  -1.66316848E-07   9.84817254E-07  -5.93660088E-07
  -29   1.36461518E-06  -1.70952723E-07   1.10315714E-06  -6.60058984E-07
  -28   1.47584553E-06  -1.66978969E-07   1.18416344E-06  -7.09984096E-07
  -27   1.51238593E-06  -1.55733070E-07   1.19585338E-06  -7.35696154E-07
  -26   1.43083909E-06  -1.33791840E-07   1.09733959E-06  -7.22699934E-07
  -25   1.18570484E-06  -1.11551945E-07   8.45538406E-07  -6.69075361E-07
  -24   7.30156489E-07  -1.07483457E-07   3.93228884E-07  -5.83043316E-07
  -23   2.40293251E-08  -1.45983507E-07  -3.03955670E-07  -4.84683369E-07
  -22  -9.32824809E-07  -2.74516537E-07  -1.25639662E-06  -4.27694136E-07
  -21  -2.09473530E-06  -5.64993228E-07  -2.43615151E-06  -5.10250532E-07
  -20  -3.36116823E-06  -1.10399419E-06  -3.76659502E-06  -8.68387556E-07
  -19  -4.54974109E-06  -1.97502047E-06  -5.09051221E-06  -1.65843729E-06
  -18  -5.44196916E-06  -3.23493542E-06  -6.20140145E-06  -3.02047529E-06
  -17  -5.87000373E-06  -4.84752820E-06  -6.90878822E-06  -4.97596256E-06
  -16  -5.84544050E-06  -6.58404601E-06  -7.14200459E-06  -7.26985685E-06
  -15  -5.68804301E-06  -7.94704399E-06  -7.05778385E-06  -9.22393505E-06
  -14  -6.03403993E-06  -8.17524266E-06  -7.08180332E-06  -9.71338163E-06
  -13  -7.44256287E-06  -6.49071151E-06  -7.62896936E-06  -7.54065973E-06
  -12  -9.21739419E-06  -2.92590850E-06  -8.15431136E-06  -2.62972901E-06
  -11  -8.09592786E-06   2.43790870E-07  -6.06390822E-06   1.88653491E-06
  -10   5.33071336E-07  -3.20860849E-06   2.48306170E-06  -1.81240001E-06
   -9   1.09254738E-05  -1.91709448E-05   1.32005899E-05  -1.91410206E-05
   -8   2.11962206E-06  -1.89611344E-05   9.10413804E-06  -1.71739395E-05
   -7   2.99124237E-06   5.07555539E-05   2.08167504E-05   5.67231082E-05
   -6   6.10668083E-05   8.90659213E-05   8.51873064E-05   9.03269651E-05
   -5   4.29111383E-05  -6.66853164E-05   6.54105663E-05  -5.03858516E-05
   -4  -1.09561867E-04  -1.71971562E-04  -6.39934696E-05  -1.41582732E-04
   -3  -1.02783038E-06   1.86917695E-04   1.41779774E-05   1.62102746E-04
   -2   6.26036530E-04   4.42453175E-04   7.15624370E-04   4.74006835E-04
   -1   2.81994576E-04  -2.86469443E-04   4.04003977E-04  -3.27347017E-04
    0  -1.39982549E-03  -4.38759716E-04  -1.43860983E-03  -3.92325307E-04
    1   4.48166773E-04   4.33017181E-04   3.04182197E-04   4.91739885E-04
    2   6.24872309E-04   2.83974555E-05   5.67467165E-04  -1.74196716E-04
    3  -5.77423723E-05  -1.21783503E-04  -8.66910109E-05  -7.54260697E-05
    4  -2.30760391E-04   5.65037088E-05  -1.16493446E-04   1.39592773E-04
    5  -7.89058775E-06   3.13684336E-05  -2.46304654E-05   2.71057642E-07
    6   6.56396115E-05  -5.86984694E-05  -8.02342632E-06  -5.95988603E-05
    7  -2.90360360E-06  -4.23551646E-05  -4.43600344E-05  -7.42930978E-05
    8  -3.31079382E-05   6.70142986E-06  -5.93813477E-05  -2.07719926E-05
    9  -1.24348885E-05   6.48527125E-06  -2.12151216E-05   3.12586162E-06
   10  -6.41040388E-07  -1.35776961E-05  -1.55230453E-07  -2.44190164E-05
   11  -2.67785723E-06  -1.30761533E-05  -4.82439472E-06  -2.49727575E-05
   12  -1.31144948E-06  -9.31317720E-07  -1.88884380E-06  -2.58410907E-06
   13   2.66251306E-06   3.59957291E-06   4.00161151E-06   4.33514128E-06
   14   4.22552371E-06   1.77201166E-06   5.10234885E-06   2.09550012E-06
   15   3.91742475E-06   2.09043266E-06   5.20400630E-06   2.11992887E-06
   16   4.96460356E-06   3.51411958E-06   6.23086964E-06   3.89413427E-06
   17   5.84571669E-06   4.30282287E-06   6.79748871E-06   5.08810887E-06
   18   5.86906088E-06   4.62502011E-06   6.48637218E-06   5.36155570E-06
   19   5.40419379E-06   4.39166673E-06   5.85074052E-06   5.06246027E-06
   20   4.80829987E-06   3.90537272E-06   5.28726066E-06   4.60255829E-06
   21   4.30941149E-06   3.47255033E-06   4.87525429E-06   4.18939543E-06
   22   3.90979737E-06   3.13646793E-06   4.52720660E-06   3.82134801E-06
   23   3.52305159E-06   2.83147063E-06   4.14134719E-06   3.44131880E-06
   24   3.10090763E-06   2.50334618E-06   3.68439356E-06   3.02265624E-06
   25   2.63918874E-06   2.13496589E-06   3.17173186E-06   2.56916671E-06
   26   2.16121297E-06   1.73805592E-06   2.63926844E-06   2.10289885E-06
   27   1.70192841E-06   1.34746494E-06   2.12728551E-06   1.65975034E-06
   28   1.28896595E-06   9.91189720E-07   1.66580396E-06   1.26428376E-06
   29   9.39029563E-07   6.84632881E-07   1.27087513E-06   9.27434877E-07
   30   6.57070666E-07   4.40293612E-07   9.46899184E-07   6.57484075E-07
   31   4.42331333E-07   2.55469621E-07   6.93075212E-07   4.49598955E-07
   32   2.84774868E-07   1.22602470E-07   4.99368585E-07   2.94600670E-07
   33   1.71788078E-07   3.29247420E-08   3.53228540E-07   1.83551120E-07
   34   9.64262683E-08  -2.04485741E-08   2.47949358E-07   1.09800092E-07
   35   4.90094725E-08  -5.08761671E-08   1.74274551E-07   6.01890812E-08
   36   1.99095284E-08  -6.50851922E-08   1.22381960E-07   2.82857810E-08
   37   2.99169117E-09  -6.66348271E-08   8.60065913E-08   1.09291301E-08
   38  -5.51414065E-09  -6.19711144E-08   6.13023554E-08   1.92408959E-09
   39  -8.39736927E-09  -5.57280037E-08   4.49092241E-08  -3.58821339E-09
   40  -8.28381811E-09  -4.59033759E-08   3.40014042E-08  -3.78904679E-09
   41  -6.38250519E-09  -3.63482154E-08   2.72333966E-08  -2.42788064E-09
   42  -4.82212357E-09  -2.94532931E-08   2.18286742E-08  -2.22887704E-09
   43  -3.40011825E-09  -2.32258113E-08   1.74950864E-08  -1.46993235E-09
   44  -1.19794900E-09  -1.64333555E-08   1.52954337E-08   8.69792234E-10
   45   7.50060151E-10  -1.15320774E-08   1.39703065E-08   2.31959686E-09
   46   9.74457600E-10  -7.62855048E-09   1.16006229E-08   3.45480761E-09
   47   1.85622781E-09  -5.61519163E-09   1.03087288E-08   3.42501980E-09
   48   3.29680287E-09  -4.58411089E-09   9.98507697E-09   2.53709914E-09
   49   2.62748509E-09  -3.42939760E-09   8.09441766E-09   2.20328683E-09
   50   2.04923388E-09  -2.12096116E-10   6.49471120E-09   4.44150396E-09
   51   1.95804641E-09   4.40383429E-10   5.71862386E-09   4.44832872E-09
   52   2.97772806E-09  -8.35272948E-10   5.96644973E-09   2.47371304E-09
   53   2.10838646E-09  -5.51780672E-10   4.56981087E-09   1.99021906E-09
   54   1.64884791E-09  -4.58729570E-10   3.75454082E-09   1.66941128E-09
   55   1.56468686E-09  -2.71582089E-10   3.31009723E-09   1.45752901E-09
   56   1.36852974E-09   5.08642664E-10   2.83312771E-09   1.90508043E-09
   57   1.12333548E-09   6.85862485E-10   2.39236506E-09   1.94858641E-09
   58   3.96149580E-10  -4.73331330E-10   1.42618953E-09   6.56681489E-10
   59  -3.29127886E-10  -9.02008729E-10   4.20950213E-10   4.89861021E-11
   60   9.09443291E-10  -8.79799410E-12   1.50675023E-09   6.96780115E-10
   61   1.53465480E-09   4.84533618E-11   2.25116872E-09   5.40145818E-10
   62   2.85347333E-10  -4.11783249E-10   9.31666548E-10   2.44963779E-11
   63  -1.13368372E-09  -2.03429467E-10  -7.22253253E-10   2.71841526E-10
   64  -1.97984458E-10  -3.92864295E-10  -1.61147816E-11   3.37877050E-11
 
