 IPEC_PMODB_CHETEST: Reconstructed perturbed mod b by chebyshev
 
    jac_out = boozer  
      cstep =    200      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)
   1.98838177E-02   16  -3.13893722E-07   2.98987079E-07
   1.98838177E-02   17  -3.13514736E-07   2.92682269E-07
   1.98838177E-02   18  -2.65748958E-07   2.86730742E-07
   1.98838177E-02   19  -2.50311837E-07   1.73048288E-07
   1.98838177E-02   20  -1.20150428E-07   1.26922286E-07
   2.48297721E-02  -12   2.30540154E-07  -1.71720152E-07
   2.48297721E-02  -11   2.07644202E-07  -2.03067804E-07
   2.48297721E-02  -10   1.95425047E-07  -2.95275714E-07
   2.48297721E-02   -9   2.79504912E-07  -3.44134964E-07
   2.48297721E-02   -8   2.78785010E-07  -3.86165805E-07
   2.48297721E-02   -7   2.93416331E-07  -4.25031468E-07
   2.48297721E-02   -6   5.19901158E-07  -5.80553540E-07
   2.48297721E-02   -5   9.60483786E-07  -9.75051721E-07
   2.48297721E-02   -4   8.59687825E-07  -1.36737114E-06
   2.48297721E-02   -3  -5.36126652E-07  -8.10359635E-07
   2.48297721E-02   -2   5.62967668E-06  -3.90319027E-06
   2.48297721E-02   -1   3.90660946E-05  -7.69696053E-05
   2.48297721E-02    0  -6.94059694E-04   1.79343822E-03
   2.48297721E-02    1   2.26540874E-05  -3.03573160E-05
   2.48297721E-02    2  -2.75321717E-06   6.99381582E-05
   2.48297721E-02    3  -4.85863597E-08  -5.29481259E-06
   2.48297721E-02    4   8.21763826E-06  -6.50183595E-06
   2.48297721E-02    5  -2.16912843E-06   2.99393390E-06
   2.48297721E-02    6  -9.17768476E-06   9.96835650E-06
   2.48297721E-02    7  -4.43570124E-06   3.31374519E-06
   2.48297721E-02    8  -3.71859209E-06   3.57661714E-06
   2.48297721E-02    9  -1.99843538E-06   1.90561390E-06
   2.48297721E-02   10  -1.21512173E-06   1.50271556E-06
   2.48297721E-02   11  -9.01694836E-07   9.43579730E-07
   2.48297721E-02   12  -6.54271559E-07   6.72615844E-07
   2.48297721E-02   13  -4.81667355E-07   5.21897412E-07
   2.48297721E-02   14  -4.28072820E-07   3.99899404E-07
   2.48297721E-02   15  -3.70680499E-07   3.61089688E-07
   2.48297721E-02   16  -3.47196205E-07   3.29726269E-07
   2.48297721E-02   17  -3.44846425E-07   3.21226779E-07
   2.48297721E-02   18  -2.91391252E-07   3.17457966E-07
   2.48297721E-02   19  -2.76061925E-07   1.92856459E-07
   2.48297721E-02   20  -1.29556225E-07   1.39026704E-07
   2.97757266E-02  -12   1.57474288E-07  -1.19480531E-07
   2.97757266E-02  -11   1.44518359E-07  -1.42160171E-07
   2.97757266E-02  -10   1.36420562E-07  -2.06274966E-07
   2.97757266E-02   -9   1.93007305E-07  -2.39994696E-07
   2.97757266E-02   -8   1.95340206E-07  -2.70698094E-07
   2.97757266E-02   -7   2.01774158E-07  -2.93322944E-07
   2.97757266E-02   -6   3.58716537E-07  -4.07015067E-07
   2.97757266E-02   -5   6.62406207E-07  -6.77872570E-07
   2.97757266E-02   -4   5.93282203E-07  -8.66262266E-07
   2.97757266E-02   -3  -3.02613823E-07  -6.20634018E-07
   2.97757266E-02   -2   5.10578863E-06  -2.17682435E-06
   2.97757266E-02   -1   4.04627232E-05  -8.13259698E-05
   2.97757266E-02    0  -6.69943652E-04   1.73196622E-03
   2.97757266E-02    1   2.43180529E-05  -2.96107089E-05
   2.97757266E-02    2  -7.76200208E-06   7.01484808E-05
   2.97757266E-02    3  -2.09839726E-07  -2.90170766E-06
   2.97757266E-02    4   5.67074006E-06  -4.45265375E-06
   2.97757266E-02    5  -1.52660281E-06   2.09285520E-06
   2.97757266E-02    6  -6.29892520E-06   6.91851416E-06
   2.97757266E-02    7  -3.04743949E-06   2.26745184E-06
   2.97757266E-02    8  -2.56673419E-06   2.47804753E-06
   2.97757266E-02    9  -1.38395396E-06   1.31975594E-06
   2.97757266E-02   10  -8.41031870E-07   1.04134334E-06
   2.97757266E-02   11  -6.23173946E-07   6.53711237E-07
   2.97757266E-02   12  -4.50999728E-07   4.66829741E-07
   2.97757266E-02   13  -3.32896660E-07   3.62257336E-07
   2.97757266E-02   14  -2.94636585E-07   2.73577560E-07
   2.97757266E-02   15  -2.51403978E-07   2.50006041E-07
   2.97757266E-02   16  -2.40062189E-07   2.26904178E-07
   2.97757266E-02   17  -2.36236615E-07   2.19234073E-07
   2.97757266E-02   18  -1.98818407E-07   2.19648323E-07
   2.97757266E-02   19  -1.89964147E-07   1.34760392E-07
   2.97757266E-02   20  -8.62489692E-08   9.46900624E-08
   3.47216810E-02  -12   3.56205243E-08  -3.01787431E-08
   3.47216810E-02  -11   3.71518226E-08  -3.77567625E-08
   3.47216810E-02  -10   3.52483658E-08  -5.33349249E-08
   3.47216810E-02   -9   4.74544198E-08  -6.22201584E-08
   3.47216810E-02   -8   5.16504068E-08  -7.02782052E-08
   3.47216810E-02   -7   4.82891654E-08  -7.21435431E-08
   3.47216810E-02   -6   8.68086419E-08  -9.93328631E-08
   3.47216810E-02   -5   1.60497036E-07  -1.76854981E-07
   3.47216810E-02   -4   1.44743643E-07  -6.34792326E-08
   3.47216810E-02   -3   6.55581455E-08  -2.98559595E-07
   3.47216810E-02   -2   3.85511392E-06  -1.49849722E-06
   3.47216810E-02   -1   4.05457515E-05  -8.38432970E-05
   3.47216810E-02    0  -6.53019014E-04   1.69071789E-03
   3.47216810E-02    1   2.58301878E-05  -2.76857643E-05
   3.47216810E-02    2  -1.48095893E-05   7.13117612E-05
   3.47216810E-02    3  -4.75128474E-07   9.56032173E-07
   3.47216810E-02    4   1.35010192E-06  -9.51617148E-07
   3.47216810E-02    5  -4.20823939E-07   5.64235194E-07
   3.47216810E-02    6  -1.48205314E-06   1.74286004E-06
   3.47216810E-02    7  -7.20603158E-07   5.24224031E-07
   3.47216810E-02    8  -6.24713775E-07   6.16897418E-07
   3.47216810E-02    9  -3.43345919E-07   3.27783783E-07
   3.47216810E-02   10  -2.08170129E-07   2.59429229E-07
   3.47216810E-02   11  -1.52349096E-07   1.62744907E-07
   3.47216810E-02   12  -1.09128168E-07   1.17228040E-07
   3.47216810E-02   13  -8.10480137E-08   9.11558990E-08
   3.47216810E-02   14  -7.05134927E-08   6.27700931E-08
   3.47216810E-02   15  -5.42562424E-08   6.19846505E-08
   3.47216810E-02   16  -5.90345109E-08   5.41771757E-08
   3.47216810E-02   17  -5.46438335E-08   4.95744078E-08
   3.47216810E-02   18  -4.50754276E-08   5.40805913E-08
   3.47216810E-02   19  -4.52605675E-08   3.52406884E-08
   3.47216810E-02   20  -1.64970343E-08   2.12184619E-08
   3.96676354E-02  -12  -9.03357422E-08   6.33136639E-08
   3.96676354E-02  -11  -7.50768619E-08   7.16221509E-08
   3.96676354E-02  -10  -7.07593831E-08   1.07048918E-07
   3.96676354E-02   -9  -1.03799105E-07   1.23789810E-07
   3.96676354E-02   -8  -9.92589549E-08   1.40383419E-07
   3.96676354E-02   -7  -1.10689438E-07   1.57262773E-07
   3.96676354E-02   -6  -1.95680193E-07   2.25480111E-07
   3.96676354E-02   -5  -3.60628002E-07   3.44510948E-07
   3.96676354E-02   -4  -3.20328228E-07   7.45679627E-07
   3.96676354E-02   -3   4.45133650E-07   3.08260030E-08
   3.96676354E-02   -2   2.51891319E-06  -1.97419701E-06
   3.96676354E-02   -1   4.04274651E-05  -8.59990026E-05
   3.96676354E-02    0  -6.43740870E-04   1.66993119E-03
   3.96676354E-02    1   2.72431638E-05  -2.56905130E-05
   3.96676354E-02    2  -2.19683847E-05   7.35039969E-05
   3.96676354E-02    3  -7.83237385E-07   4.95053668E-06
   3.96676354E-02    4  -3.16251986E-06   2.73050247E-06
   3.96676354E-02    5   7.37886809E-07  -1.02435190E-06
   3.96676354E-02    6   3.50220735E-06  -3.65201327E-06
   3.96676354E-02    7   1.68911305E-06  -1.27515752E-06
   3.96676354E-02    8   1.39321769E-06  -1.32161837E-06
   3.96676354E-02    9   7.40188255E-07  -7.05237920E-07
   3.96676354E-02   10   4.50629389E-07  -5.55021590E-07
   3.96676354E-02   11   3.37454050E-07  -3.48626323E-07
   3.96676354E-02   12   2.45588405E-07  -2.47354508E-07
   3.96676354E-02   13   1.81244668E-07  -1.91602681E-07
   3.96676354E-02   14   1.61941269E-07  -1.55028645E-07
   3.96676354E-02   15   1.48476804E-07  -1.33772034E-07
   3.96676354E-02   16   1.29327698E-07  -1.24979585E-07
   3.96676354E-02   17   1.33285965E-07  -1.25421039E-07
   3.96676354E-02   18   1.13317143E-07  -1.18377415E-07
   3.96676354E-02   19   1.04914021E-07  -6.89994621E-08
   3.96676354E-02   20   5.41199969E-08  -5.43649065E-08
   4.46135899E-02  -12  -1.87198169E-07   1.36273463E-07
   4.46135899E-02  -11  -1.62590308E-07   1.57079163E-07
   4.46135899E-02  -10  -1.53555957E-07   2.32401526E-07
   4.46135899E-02   -9  -2.20926664E-07   2.68960628E-07
   4.46135899E-02   -8  -2.17447360E-07   3.05180170E-07
   4.46135899E-02   -7  -2.33284903E-07   3.34427711E-07
   4.46135899E-02   -6  -4.14100311E-07   4.79842005E-07
   4.46135899E-02   -5  -7.63345635E-07   7.49138040E-07
   4.46135899E-02   -4  -6.78725360E-07   1.35091748E-06
   4.46135899E-02   -3   7.44663094E-07   2.74761268E-07
   4.46135899E-02   -2   1.57688561E-06  -3.39319905E-06
   4.46135899E-02   -1   4.08976928E-05  -8.88234572E-05
   4.46135899E-02    0  -6.40855106E-04   1.66557658E-03
   4.46135899E-02    1   2.85758649E-05  -2.43880556E-05
   4.46135899E-02    2  -2.78018802E-05   7.64876803E-05
   4.46135899E-02    3  -1.08014812E-06   8.09077228E-06
   4.46135899E-02    4  -6.68138279E-06   5.63452284E-06
   4.46135899E-02    5   1.64125362E-06  -2.24963114E-06
   4.46135899E-02    6   7.33815662E-06  -7.83981495E-06
   4.46135899E-02    7   3.54553722E-06  -2.65578201E-06
   4.46135899E-02    8   2.95426341E-06  -2.82532675E-06
   4.46135899E-02    9   1.58032367E-06  -1.50649390E-06
   4.46135899E-02   10   9.61425992E-07  -1.18675806E-06
   4.46135899E-02   11   7.16782126E-07  -7.45338205E-07
   4.46135899E-02   12   5.19502352E-07  -5.30559266E-07
   4.46135899E-02   13   3.84699005E-07  -4.11304232E-07
   4.46135899E-02   14   3.41377624E-07  -3.22333177E-07
   4.46135899E-02   15   3.03384091E-07  -2.85574196E-07
   4.46135899E-02   16   2.75304219E-07  -2.63293874E-07
   4.46135899E-02   17   2.78004648E-07  -2.59601306E-07
   4.46135899E-02   18   2.34537415E-07  -2.52203188E-07
   4.46135899E-02   19   2.20952890E-07  -1.50394678E-07
   4.46135899E-02   20   1.07003517E-07  -1.12088138E-07
   4.95595443E-02  -12  -2.36726032E-07   1.74818434E-07
   4.95595443E-02  -11  -2.08812232E-07   2.02448557E-07
   4.95595443E-02  -10  -1.97418322E-07   2.98884090E-07
   4.95595443E-02   -9  -2.81847681E-07   3.45829840E-07
   4.95595443E-02   -8  -2.80423925E-07   3.92669572E-07
   4.95595443E-02   -7  -2.96459108E-07   4.25997565E-07
   4.95595443E-02   -6  -5.27165251E-07   6.14780209E-07
   4.95595443E-02   -5  -9.71540754E-07   9.60864755E-07
   4.95595443E-02   -4  -8.62509995E-07   1.64219624E-06
   4.95595443E-02   -3   9.14157417E-07   3.82233839E-07
   4.95595443E-02   -2   1.29621597E-06  -5.41597481E-06
   4.95595443E-02   -1   4.23708245E-05  -9.28473267E-05
   4.95595443E-02    0  -6.42360925E-04   1.67196678E-03
   4.95595443E-02    1   2.98312584E-05  -2.41554116E-05
   4.95595443E-02    2  -3.15172173E-05   7.98941701E-05
   4.95595443E-02    3  -1.32725118E-06   9.82746183E-06
   4.95595443E-02    4  -8.54441835E-06   7.21830901E-06
   4.95595443E-02    5   2.11642989E-06  -2.87737566E-06
   4.95595443E-02    6   9.30253395E-06  -1.00270082E-05
   4.95595443E-02    7   4.49858897E-06  -3.35774812E-06
   4.95595443E-02    8   3.76348308E-06  -3.60968285E-06
   4.95595443E-02    9   2.01809565E-06  -1.92446308E-06
   4.95595443E-02   10   1.22766911E-06  -1.51622062E-06
   4.95595443E-02   11   9.13827018E-07  -9.52348560E-07
   4.95595443E-02   12   6.60927666E-07  -6.78790627E-07
   4.95595443E-02   13   4.90786353E-07  -5.26329936E-07
   4.95595443E-02   14   4.33917955E-07  -4.07638759E-07
   4.95595443E-02   15   3.81400222E-07  -3.64736478E-07
   4.95595443E-02   16   3.51301113E-07  -3.34671714E-07
   4.95595443E-02   17   3.52247249E-07  -3.27756788E-07
   4.95595443E-02   18   2.95773117E-07  -3.22080273E-07
   4.95595443E-02   19   2.80960231E-07  -1.93501255E-07
   4.95595443E-02   20   1.32331847E-07  -1.41080880E-07
   5.45054987E-02  -12  -2.34632241E-07   1.75300929E-07
   5.45054987E-02  -11  -2.09423816E-07   2.03538249E-07
   5.45054987E-02  -10  -1.98235824E-07   3.00232899E-07
   5.45054987E-02   -9  -2.81108613E-07   3.47276772E-07
   5.45054987E-02   -8  -2.82184602E-07   3.94621943E-07
   5.45054987E-02   -7  -2.94741108E-07   4.23943833E-07
   5.45054987E-02   -6  -5.24794724E-07   6.17499861E-07
   5.45054987E-02   -5  -9.66638452E-07   9.60629975E-07
   5.45054987E-02   -4  -8.55342004E-07   1.59931537E-06
   5.45054987E-02   -3   9.42385310E-07   3.41066033E-07
   5.45054987E-02   -2   1.74527425E-06  -7.69134174E-06
   5.45054987E-02   -1   4.49280540E-05  -9.81672189E-05
   5.45054987E-02    0  -6.46135779E-04   1.68338609E-03
   5.45054987E-02    1   3.10072050E-05  -2.50345866E-05
   5.45054987E-02    2  -3.29232806E-05   8.33403069E-05
   5.45054987E-02    3  -1.50347781E-06   1.00250497E-05
   5.45054987E-02    4  -8.58224317E-06   7.33467050E-06
   5.45054987E-02    5   2.11816410E-06  -2.85026315E-06
   5.45054987E-02    6   9.22475570E-06  -1.00140724E-05
   5.45054987E-02    7   4.46520014E-06  -3.32123538E-06
   5.45054987E-02    8   3.74864540E-06  -3.60366054E-06
   5.45054987E-02    9   2.01396507E-06  -1.92137274E-06
   5.45054987E-02   10   1.22536220E-06  -1.51359880E-06
   5.45054987E-02   11   9.10823955E-07  -9.50918341E-07
   5.45054987E-02   12   6.57401445E-07  -6.78578973E-07
   5.45054987E-02   13   4.89848335E-07  -5.26153729E-07
   5.45054987E-02   14   4.31380258E-07  -4.03639028E-07
   5.45054987E-02   15   3.76055619E-07  -3.64134388E-07
   5.45054987E-02   16   3.50470151E-07  -3.32818290E-07
   5.45054987E-02   17   3.49549969E-07  -3.24146366E-07
   5.45054987E-02   18   2.91880241E-07  -3.21659029E-07
   5.45054987E-02   19   2.79614698E-07  -1.94295024E-07
   5.45054987E-02   20   1.28309736E-07  -1.38922932E-07
   5.94514532E-02  -12  -1.87370795E-07   1.42044764E-07
