
   ising   psi         q          di      re alpha   im alpha

     1  2.919E-01  2.000E+00 -6.223E-01  7.889E-01  0.000E+00


   is    psifac      dpsi        q       singfac     eval1

  182  4.472E-04  2.544E-06  1.435E+00  5.655E-01  2.290E-02
  183  4.497E-04  2.544E-06  1.435E+00  5.654E-01  2.306E-02
  184  4.537E-04  4.002E-06  1.435E+00  5.654E-01  2.333E-02
  185  4.578E-04  4.002E-06  1.435E+00  5.654E-01  2.359E-02
  186  4.618E-04  4.002E-06  1.435E+00  5.654E-01  2.386E-02
  187  4.658E-04  4.002E-06  1.435E+00  5.654E-01  2.412E-02
  188  4.698E-04  4.002E-06  1.435E+00  5.654E-01  2.438E-02
  189  4.747E-04  4.988E-06  1.435E+00  5.654E-01  2.471E-02
  190  4.797E-04  4.988E-06  1.435E+00  5.654E-01  2.504E-02
  191  4.847E-04  4.988E-06  1.435E+00  5.654E-01  2.537E-02
  192  4.897E-04  4.988E-06  1.435E+00  5.654E-01  2.570E-02
  193  4.947E-04  4.988E-06  1.435E+00  5.654E-01  2.603E-02
  194  4.997E-04  4.988E-06  1.435E+00  5.654E-01  2.636E-02
  195  5.076E-04  7.932E-06  1.435E+00  5.654E-01  2.688E-02
  196  5.155E-04  7.932E-06  1.435E+00  5.653E-01  2.740E-02
  197  5.235E-04  7.932E-06  1.435E+00  5.653E-01  2.792E-02
  198  5.314E-04  7.932E-06  1.435E+00  5.653E-01  2.845E-02
  199  5.393E-04  7.932E-06  1.435E+00  5.653E-01  2.897E-02
  200  5.473E-04  7.932E-06  1.435E+00  5.653E-01  2.949E-02
  201  5.552E-04  7.932E-06  1.435E+00  5.653E-01  3.002E-02
  202  5.631E-04  7.932E-06  1.435E+00  5.653E-01  3.054E-02
  203  5.711E-04  7.932E-06  1.435E+00  5.652E-01  3.106E-02
  204  5.790E-04  7.932E-06  1.435E+00  5.652E-01  3.158E-02
  205  5.869E-04  7.932E-06  1.435E+00  5.652E-01  3.211E-02
