 IPEC_RESPONSE: Response parameters
 
      mpert =  33       mlow = -12      mhigh =  20
     psilim =  9.84344931E-01       qlim =  4.20000000E+00
 
 Energy for dcon eigenmodes
 
 mode          ev0          ev1          iv1          ep0          ep1          ep2          ep3          ep4          et0
    1   -4.601E-01   -1.332E-01
    2   -3.176E-01   -3.447E-01
    3    2.808E-02   -4.750E-01
    4    4.009E-01    2.976E-01
    5    6.714E-02   -4.431E-03
    6   -1.344E-01   -8.620E-03
    7    1.665E-02    8.324E-03
    8    1.387E-01    1.021E-02
    9   -3.298E-03    6.514E-04
   10   -1.112E-01    4.589E-03
   11   -5.926E-03   -3.614E-03
   12    1.063E-03    2.086E-03
   13   -1.548E-04   -1.290E-03
   14   -1.056E-03   -6.590E-02
   15    2.310E-03   -9.843E-03
   16    2.294E-03   -3.304E-03
   17    2.457E-03   -1.565E-03
   18    2.713E-03   -5.047E-04
   19   -2.900E-03    6.164E-05
   20   -3.095E-03   -1.819E-04
 
 mode =   8
 eigenvalue =   1.335E-04
 
    m         real         imag
  -12    2.824E-03   -1.454E-03
  -11    6.439E-03   -1.728E-03
  -10    8.902E-04   -3.086E-03
   -9   -5.663E-03    5.030E-03
   -8   -9.603E-03   -7.726E-03
   -7    7.569E-03    2.370E-02
   -6   -3.363E-02   -2.532E-03
   -5    3.994E-01   -3.583E-02
   -4   -1.217E-01    7.643E-02
   -3    2.002E-01    4.855E-02
   -2    2.784E-01   -9.739E-02
   -1   -3.578E-01   -5.186E-02
    0   -3.165E-01   -8.023E-02
    1   -2.090E-01   -4.044E-02
    2   -1.464E-01   -1.165E-01
    3    2.355E-01   -1.879E-01
    4    3.534E-01   -4.677E-01
    5   -6.254E-02    3.638E-01
    6   -1.075E-01   -8.393E-02
    7    2.212E-02    3.439E-02
    8    6.852E-02    3.940E-05
    9   -5.824E-05    6.327E-04
   10   -6.504E-02    2.868E-03
   11   -3.672E-03   -3.444E-03
   12    3.015E-05    2.662E-03
   13   -6.601E-04    3.609E-04
   14   -8.675E-04   -3.807E-02
   15    1.921E-03   -6.348E-03
   16    1.870E-03   -2.245E-03
   17    1.973E-03   -9.763E-04
   18    2.101E-03   -2.101E-04
   19   -2.432E-03   -5.875E-05
   20   -2.718E-03   -1.396E-04
 
 mode =   9
 eigenvalue =   1.381E-04
 
    m         real         imag
  -12    7.706E-03   -1.891E-03
  -11    8.575E-03    2.473E-03
  -10    2.557E-04   -7.144E-03
   -9   -1.148E-02   -1.261E-02
   -8   -9.152E-03   -7.756E-03
   -7    3.364E-01    1.305E-01
   -6    2.444E-01   -2.065E-01
   -5   -1.217E-01   -7.643E-02
   -4   -4.611E-01   -9.538E-02
   -3    1.508E-02    1.892E-01
   -2    2.122E-01   -1.572E-03
   -1   -2.380E-01    4.485E-02
    0   -1.695E-01   -1.347E-02
    1   -1.435E-01    5.534E-02
    2   -1.231E-01    4.761E-02
    3   -5.998E-02    3.108E-01
    4    8.384E-03    4.809E-01
    5    6.359E-02   -3.722E-01
    6   -2.096E-02    8.128E-02
    7   -1.789E-02   -2.307E-02
    8    5.307E-02    8.722E-03
    9   -8.359E-03   -5.883E-04
   10   -3.436E-02    1.382E-03
   11   -4.590E-03   -1.578E-03
   12    1.449E-03    1.673E-03
   13    4.221E-04    8.129E-04
   14   -6.395E-04   -2.155E-02
   15    6.102E-04   -4.399E-03
   16    1.003E-03   -1.954E-03
   17    1.305E-03   -1.006E-03
   18    1.533E-03   -3.281E-04
   19   -1.885E-03    2.555E-05
   20   -2.228E-03   -1.785E-04
 
 mode =  10
 eigenvalue =   1.678E-04
 
    m         real         imag
  -12    1.363E-02   -1.286E-04
  -11    2.973E-02   -1.311E-02
  -10   -1.057E-02    8.849E-04
   -9   -3.263E-01    6.852E-02
   -8   -2.414E-01   -2.512E-01
   -7   -4.759E-01   -1.186E-01
   -6   -9.318E-01    2.008E-01
   -5    2.002E-01   -4.855E-02
   -4    1.508E-02   -1.892E-01
   -3    1.384E-01    5.263E-02
   -2    1.650E-01   -4.467E-02
   -1   -4.929E-02   -1.964E-02
    0   -5.955E-02   -3.090E-02
    1   -3.696E-02   -3.029E-02
    2   -6.368E-02   -4.137E-02
    3   -1.992E-03   -1.222E-01
    4   -9.239E-02   -2.920E-01
    5   -2.229E-01   -3.559E-01
    6    2.320E-01    3.286E-01
    7   -9.237E-02   -5.296E-02
    8    6.802E-02    1.132E-02
    9   -1.455E-02    2.268E-03
   10   -1.312E-02   -1.468E-03
   11   -1.564E-03   -2.151E-04
   12    1.012E-03    1.294E-03
   13    3.511E-04    1.053E-03
   14    3.564E-04   -1.169E-02
   15    1.353E-03   -2.546E-03
   16    1.428E-03   -1.144E-03
   17    1.542E-03   -5.967E-04
   18    1.627E-03   -2.034E-04
   19   -1.012E-03    5.702E-05
   20   -1.438E-03   -3.774E-06
 
 mode =  11
 eigenvalue =   1.695E-04
 
    m         real         imag
  -12    7.813E-02   -3.076E-02
  -11   -2.005E-03    7.288E-03
  -10   -1.064E-01    5.287E-01
   -9    6.226E-01   -2.320E-02
   -8    3.310E-01    1.735E-01
   -7   -1.381E-01    8.647E-02
   -6   -7.048E-01   -1.193E-01
   -5    2.784E-01    9.739E-02
   -4    2.122E-01    1.572E-03
   -3    1.650E-01    4.467E-02
   -2    6.569E-02   -2.641E-03
   -1   -6.547E-03    1.964E-02
    0   -2.782E-02    3.328E-03
    1    8.369E-03    1.632E-02
    2   -2.871E-02    4.932E-02
    3    4.816E-02    9.297E-02
    4    3.100E-02    3.196E-01
    5    1.042E-01    4.170E-01
    6   -1.333E-01   -4.151E-01
    7    7.696E-02    9.898E-02
    8   -2.523E-02   -2.432E-02
    9    1.530E-02    3.391E-03
   10   -1.594E-02    8.755E-04
   11    3.369E-04   -2.075E-03
   12    9.788E-04    1.568E-03
   13    8.549E-04    8.273E-04
   14    1.202E-04   -6.302E-03
   15    7.377E-04   -1.860E-03
   16    9.593E-04   -9.191E-04
   17    1.111E-03   -4.345E-04
   18    1.127E-03   -7.854E-05
   19   -5.220E-04   -5.464E-05
   20   -7.610E-04   -1.670E-04
 
 mode =  12
 eigenvalue =   2.015E-04
 
    m         real         imag
  -12    4.504E-02    6.137E-02
  -11   -7.216E-01    3.982E-02
  -10    1.524E-01   -4.257E-01
   -9    1.012E-02    8.454E-02
   -8    2.661E-01    2.068E-01
   -7    4.354E-01   -1.763E-04
   -6   -4.463E-01    7.578E-02
   -5   -3.578E-01    5.186E-02
   -4   -2.380E-01   -4.485E-02
   -3   -4.929E-02    1.964E-02
   -2   -6.547E-03   -1.964E-02
   -1   -3.102E-02    8.891E-03
    0   -1.964E-02   -1.057E-02
    1   -4.621E-02   -2.535E-03
    2   -2.566E-02   -2.332E-02
    3   -4.555E-02   -2.372E-02
    4   -1.095E-01   -8.730E-02
    5   -2.772E-01   -2.138E-01
    6   -3.210E-01   -1.304E-01
    7    4.191E-01    1.706E-01
    8   -1.475E-01   -4.955E-03
    9    5.499E-02   -1.804E-02
   10   -2.305E-02    1.450E-02
   11    4.124E-03   -6.920E-03
   12   -8.935E-04    3.503E-03
   13   -1.872E-04   -3.686E-04
   14   -2.080E-04   -2.400E-03
   15   -7.698E-05   -9.628E-04
   16    7.493E-05   -5.131E-04
   17    2.295E-04   -3.518E-04
   18    3.982E-04   -1.606E-04
   19   -9.276E-04    9.162E-05
   20   -1.109E-03    2.500E-05
 
 mode =  13
 eigenvalue =   2.023E-04
 
    m         real         imag
  -12   -9.789E-01    1.510E-01
  -11   -1.291E-02    8.872E-02
  -10   -3.394E-02    1.997E-02
   -9    6.650E-02    3.998E-02
   -8   -8.965E-02   -2.548E-04
   -7    4.780E-01   -3.985E-02
   -6   -3.426E-01    4.567E-02
   -5   -3.165E-01    8.023E-02
   -4   -1.695E-01    1.347E-02
   -3   -5.955E-02    3.090E-02
   -2   -2.782E-02   -3.328E-03
   -1   -1.964E-02    1.057E-02
    0   -6.096E-03   -1.963E-03
    1   -6.980E-03    8.694E-03
    2    1.732E-02    1.629E-03
    3    5.145E-02    3.106E-02
    4    1.328E-01    3.971E-02
    5    3.137E-01    1.397E-01
    6    3.184E-01    6.828E-02
    7   -4.646E-01   -8.156E-02
    8    1.621E-01   -2.498E-02
    9   -5.440E-02    3.205E-02
   10    1.184E-02   -1.823E-02
   11   -4.194E-03    8.228E-03
   12   -7.580E-04   -3.007E-03
   13   -3.323E-04    9.813E-04
   14   -7.249E-04   -1.054E-03
   15   -4.251E-04   -1.567E-04
   16   -4.221E-04   -8.083E-05
   17   -3.538E-04   -1.904E-05
   18   -3.160E-04   -1.876E-05
   19   -3.838E-04    2.531E-05
   20   -3.530E-04    3.382E-06
 
 mode =  14
 eigenvalue =   2.348E-04
 
    m         real         imag
  -12    1.272E-02   -3.951E-02
  -11    6.656E-01    1.037E-01
  -10    2.934E-01   -3.515E-01
   -9   -1.860E-01    4.990E-03
   -8    8.315E-01    4.342E-01
   -7   -2.464E-01   -9.378E-02
   -6   -4.601E-01    1.332E-01
   -5   -2.090E-01    4.044E-02
   -4   -1.435E-01   -5.534E-02
   -3   -3.696E-02    3.029E-02
   -2    8.369E-03   -1.632E-02
   -1   -4.621E-02    2.535E-03
    0   -6.980E-03   -8.694E-03
    1   -1.537E-02   -1.859E-03
    2   -1.236E-02   -7.051E-03
    3   -2.665E-02    4.891E-03
    4   -7.352E-02   -1.134E-02
    5   -1.633E-01   -1.282E-02
    6   -3.561E-01   -4.727E-02
    7   -2.411E-01    3.820E-02
    8    4.757E-01   -5.376E-02
    9   -1.823E-01    7.940E-02
   10    5.252E-02   -5.564E-02
   11   -1.265E-02    2.859E-02
   12    6.493E-04   -1.249E-02
   13    6.039E-04    3.782E-03
   14   -1.005E-03   -1.954E-04
   15   -1.508E-04    7.643E-04
   16   -6.102E-04    1.926E-04
   17   -4.877E-04    1.141E-04
   18   -4.250E-04    5.738E-05
   19   -1.814E-04   -2.568E-05
   20   -2.320E-04   -3.524E-05
 
 mode =  15
 eigenvalue =   2.358E-04
 
    m         real         imag
  -12    2.902E-02    6.302E-03
  -11   -3.799E-03   -1.756E-02
  -10   -3.097E-01    4.450E-01
   -9   -7.686E-01   -2.558E-01
   -8    7.492E-01    3.651E-01
   -7    1.389E-03   -8.964E-02
   -6   -3.176E-01    3.447E-01
   -5   -1.464E-01    1.165E-01
   -4   -1.231E-01   -4.761E-02
   -3   -6.368E-02    4.137E-02
   -2   -2.871E-02   -4.932E-02
   -1   -2.566E-02    2.332E-02
    0    1.732E-02   -1.629E-03
    1   -1.236E-02    7.051E-03
    2    1.613E-02    3.009E-03
    3    3.931E-02    6.551E-03
    4    7.243E-02   -6.140E-03
    5    1.829E-01    1.022E-02
    6    3.660E-01    3.093E-02
    7    2.156E-01   -5.023E-02
    8   -4.797E-01    8.501E-02
    9    1.849E-01   -9.100E-02
   10   -5.034E-02    6.080E-02
   11    1.224E-02   -2.775E-02
   12   -2.432E-03    1.036E-02
   13   -2.495E-03   -5.606E-03
   14   -1.916E-06    3.780E-03
   15   -1.474E-03    1.166E-03
   16   -1.119E-03    8.625E-04
   17   -1.252E-03    3.441E-04
   18   -1.072E-03    1.362E-04
   19    7.763E-05    5.377E-06
   20    1.076E-05    3.573E-05
 
 mode =  16
 eigenvalue =   2.683E-04
 
    m         real         imag
  -12    1.760E-02    2.184E-02
  -11   -5.480E-02   -5.232E-02
  -10    2.495E-01    7.573E-02
   -9   -2.127E-01    1.178E-01
   -8   -8.919E-02   -1.411E-01
   -7    8.055E-01   -3.631E-01
   -6    2.808E-02    4.750E-01
   -5    2.355E-01    1.879E-01
   -4   -5.998E-02   -3.108E-01
   -3   -1.992E-03    1.222E-01
   -2    4.816E-02   -9.297E-02
   -1   -4.555E-02    2.372E-02
    0    5.145E-02   -3.106E-02
    1   -2.665E-02   -4.891E-03
    2    3.931E-02   -6.551E-03
    3    2.133E-02    6.096E-03
    4    2.348E-02   -4.924E-04
    5    1.123E-01   -9.974E-03
    6    2.156E-01   -2.123E-02
    7    3.733E-01   -2.835E-02
    8    1.182E-01   -7.063E-02
    9   -4.467E-01    1.667E-01
   10    2.051E-01   -1.397E-01
   11   -4.915E-02    8.664E-02
   12    7.970E-03   -4.379E-02
   13    1.398E-03    1.341E-02
   14   -1.558E-03   -2.277E-03
   15    1.310E-03    4.350E-03
