 IPEC_PMODB_CHEBYSHEV: Reconstructed perturbed mod b by chebyshev
 
    jac_out = hamada  
      cstep =    256      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)       real(divx)       imag(divx)
   1.25688162E-02    5   2.05847879E-06   2.07040704E-06  -2.85647794E-06  -4.83849722E-06
   1.25688162E-02    6   2.19193085E-06   2.20141055E-06  -4.19283155E-06  -4.71926011E-06
   1.25688162E-02    7   1.30725736E-07   2.17068368E-07  -9.95541129E-07  -1.38831388E-06
   1.25688162E-02    8   5.36247519E-07   3.60220008E-07  -1.02579756E-06  -7.30868553E-07
   1.25688162E-02    9  -1.96457560E-07  -8.35848675E-08  -2.13037887E-08  -1.58178884E-07
   1.25688162E-02   10   3.14414272E-07   1.20876884E-07  -4.32357043E-07  -2.55428062E-07
   1.25688162E-02   11  -5.69115661E-08   5.89721553E-08  -1.10407527E-07  -2.04866037E-07
   1.25688162E-02   12   1.72376653E-07   3.92703106E-08  -2.54784373E-07  -1.92162081E-07
   1.25688162E-02   13   2.27383067E-08   9.63932530E-08  -1.36232242E-07  -2.16242147E-07
   1.25688162E-02   14   1.08675473E-07   5.17628316E-08  -2.30478592E-07  -1.96709983E-07
   1.25688162E-02   15   5.70484816E-08   7.76257925E-08  -1.53744482E-07  -1.91058434E-07
   1.25688162E-02   16   7.38809180E-08   5.15514351E-08  -1.68324575E-07  -1.06436152E-07
   1.25688162E-02   17   4.19352189E-08   4.77025989E-08  -1.40724872E-07  -1.30042881E-07
   1.25688162E-02   18   4.15221826E-08   3.53588954E-08  -6.73745072E-08  -7.93309377E-08
   1.25688162E-02   19   2.06324474E-08   2.26959195E-08  -6.29085029E-08  -2.10529151E-08
   1.25688162E-02   20   5.81411630E-09   2.78237460E-09   2.02487519E-07   2.69270606E-07
   1.64250883E-02  -12   9.05337441E-08  -7.68192610E-08  -2.09845683E-07   1.24618952E-07
   1.64250883E-02  -11   9.16635834E-08  -5.21478083E-08  -2.64154652E-07  -2.33511335E-08
