 IPEC_CONTROL_FUN: Plasma response for an external perturbation on the control surface in functions
 
    mthsurf = 960
  vacuum energy =   1.40728172E+01
 surface energy =   2.21900113E+01
  plasma energy =   1.65856186E+01
 
 jac_type = boozer          
 
                r                z        real(xin)        imag(xin)       real(xout)       imag(xout)        real(bin)        imag(bin)       real(bout)       imag(bout)
   1.64177169E+00   9.42240652E-01  -6.34731222E-03  -3.46180695E-03   7.48352119E-04   9.64819277E-04  -3.35907681E-04  -1.08051787E-04  -2.64487081E-04  -7.56487455E-04
   1.63714529E+00   9.44858570E-01  -6.34532469E-03  -3.69039191E-03   7.24838332E-04   9.63715075E-04  -3.39112128E-04  -9.88045302E-05  -2.71128602E-04  -7.46398936E-04
   1.63257840E+00   9.47412016E-01  -6.33684629E-03  -3.92164605E-03   7.00419599E-04   9.62171595E-04  -3.42477699E-04  -8.95968261E-05  -2.78518625E-04  -7.36355899E-04
   1.62807017E+00   9.49902470E-01  -6.32173271E-03  -4.15540645E-03   6.75033644E-04   9.60148965E-04  -3.46032690E-04  -8.05391383E-05  -2.86602206E-04  -7.26506134E-04
   1.62361973E+00   9.52331358E-01  -6.29984291E-03  -4.39150625E-03   6.48625091E-04   9.57600872E-04  -3.49793036E-04  -7.17387295E-05  -2.95303177E-04  -7.16987052E-04
   1.61922616E+00   9.54700143E-01  -6.27103871E-03  -4.62977449E-03   6.21146841E-04   9.54475327E-04  -3.53762794E-04  -6.32980561E-05  -3.04526055E-04  -7.07923353E-04
   1.61488849E+00   9.57010274E-01  -6.23518449E-03  -4.87003601E-03   5.92561294E-04   9.50715565E-04  -3.57934818E-04  -5.53132680E-05  -3.14158245E-04  -6.99424957E-04
   1.61060571E+00   9.59263145E-01  -6.19214686E-03  -5.11211124E-03   5.62841415E-04   9.46261052E-04  -3.62291596E-04  -4.78728357E-05  -3.24072493E-04  -6.91585226E-04
   1.60637679E+00   9.61460117E-01  -6.14179448E-03  -5.35581594E-03   5.31971624E-04   9.41048594E-04  -3.66806249E-04  -4.10563250E-05  -3.34129555E-04  -6.84479524E-04
   1.60220096E+00   9.63602602E-01  -6.08399787E-03  -5.60096091E-03   4.99948490E-04   9.35013506E-04  -3.71443658E-04  -3.49333349E-05  -3.44181023E-04  -6.78164105E-04
   1.59807745E+00   9.65691989E-01  -6.01862929E-03  -5.84735171E-03   4.66781235E-04   9.28090842E-04  -3.76161699E-04  -2.95626148E-05  -3.54072275E-04  -6.72675372E-04
   1.59400545E+00   9.67729620E-01  -5.94556270E-03  -6.09478833E-03   4.32492031E-04   9.20216645E-04  -3.80912569E-04  -2.49913691E-05  -3.63645475E-04  -6.68029502E-04
   1.58998423E+00   9.69716829E-01  -5.86467383E-03  -6.34306483E-03   3.97116086E-04   9.11329200E-04  -3.85644168E-04  -2.12547596E-05  -3.72742604E-04  -6.64222440E-04
   1.58601323E+00   9.71654984E-01  -5.77584024E-03  -6.59196901E-03   3.60701529E-04   9.01370269E-04  -3.90301523E-04  -1.83756080E-05  -3.81208442E-04  -6.61230264E-04
   1.58209193E+00   9.73545421E-01  -5.67894154E-03  -6.84128208E-03   3.23309090E-04   8.90286275E-04  -3.94828220E-04  -1.63643006E-05  -3.88893472E-04  -6.59009901E-04
   1.57821972E+00   9.75389439E-01  -5.57385965E-03  -7.09077836E-03   2.85011589E-04   8.78029432E-04  -3.99167823E-04  -1.52188925E-05  -3.95656645E-04  -6.57500190E-04
   1.57439606E+00   9.77188283E-01  -5.46047907E-03  -7.34022493E-03   2.45893230E-04   8.64558773E-04  -4.03265251E-04  -1.49254059E-05  -4.01367973E-04  -6.56623262E-04
   1.57062046E+00   9.78943149E-01  -5.33868734E-03  -7.58938143E-03   2.06048738E-04   8.49841081E-04  -4.07068101E-04  -1.54583145E-05  -4.05910902E-04  -6.56286211E-04
   1.56689238E+00   9.80655200E-01  -5.20837545E-03  -7.83799977E-03   1.65582329E-04   8.33851694E-04  -4.10527880E-04  -1.67812012E-05  -4.09184430E-04  -6.56383023E-04
   1.56321128E+00   9.82325559E-01  -5.06943838E-03  -8.08582399E-03   1.24606543E-04   8.16575169E-04  -4.13601141E-04  -1.88475771E-05  -4.11104932E-04  -6.56796739E-04
   1.55957663E+00   9.83955281E-01  -4.92177566E-03  -8.33259013E-03   8.32409659E-05   7.98005790E-04  -4.16250488E-04  -2.16018432E-05  -4.11607681E-04  -6.57401787E-04
   1.55598789E+00   9.85545370E-01  -4.76529198E-03  -8.57802611E-03   4.16108475E-05   7.78147924E-04  -4.18445455E-04  -2.49803779E-05  -4.10648015E-04  -6.58066471E-04
   1.55244451E+00   9.87096800E-01  -4.59989783E-03  -8.82185175E-03  -1.54348518E-07   7.57016194E-04  -4.20163233E-04  -2.89127299E-05  -4.08202168E-04  -6.58655548E-04
   1.54894593E+00   9.88610499E-01  -4.42551021E-03  -9.06377881E-03  -4.19224450E-05   7.34635487E-04  -4.21389226E-04  -3.33228934E-05  -4.04267728E-04  -6.59032862E-04
   1.54549158E+00   9.90087291E-01  -4.24205331E-03  -9.30351110E-03  -8.35600763E-05   7.11040781E-04  -4.22117458E-04  -3.81306455E-05  -3.98863727E-04  -6.59063978E-04
   1.54208087E+00   9.91527956E-01  -4.04945925E-03  -9.54074465E-03  -1.24934212E-04   6.86276802E-04  -4.22350798E-04  -4.32529204E-05  -3.92030373E-04  -6.58618783E-04
   1.53871323E+00   9.92933249E-01  -3.84766875E-03  -9.77516797E-03  -1.65913655E-04   6.60397509E-04  -4.22101010E-04  -4.86051980E-05  -3.83828419E-04  -6.57573990E-04
   1.53538803E+00   9.94303891E-01  -3.63663193E-03  -1.00064623E-02  -2.06370494E-04   6.33465418E-04  -4.21388643E-04  -5.41028837E-05  -3.74338195E-04  -6.55815524E-04
   1.53210471E+00   9.95640563E-01  -3.41630894E-03  -1.02343022E-02  -2.46181479E-04   6.05550777E-04  -4.20242746E-04  -5.96626568E-05  -3.63658313E-04  -6.53240726E-04
   1.52886266E+00   9.96943923E-01  -3.18667071E-03  -1.04583557E-02  -2.85229308E-04   5.76730598E-04  -4.18700426E-04  -6.52037650E-05  -3.51904083E-04  -6.49760359E-04
   1.52566127E+00   9.98214605E-01  -2.94769954E-03  -1.06782849E-02  -3.23403802E-04   5.47087575E-04  -4.16806262E-04  -7.06492452E-05  -3.39205653E-04  -6.45300362E-04
   1.52249993E+00   9.99453266E-01  -2.69938981E-03  -1.08937467E-02  -3.60602944E-04   5.16708890E-04  -4.14611578E-04  -7.59270522E-05  -3.25705918E-04  -6.39803341E-04
   1.51937803E+00   1.00066058E+00  -2.44174847E-03  -1.11043931E-02  -3.96733781E-04   4.85684934E-04  -4.12173595E-04  -8.09710769E-05  -3.11558242E-04  -6.33229753E-04
   1.51629494E+00   1.00183721E+00  -2.17479566E-03  -1.13098720E-02  -4.31713159E-04   4.54107973E-04  -4.09554481E-04  -8.57220404E-05  -2.96924014E-04  -6.25558785E-04
   1.51325002E+00   1.00298380E+00  -1.89856513E-03  -1.15098280E-02  -4.65468299E-04   4.22070760E-04  -4.06820314E-04  -9.01282515E-05  -2.81970095E-04  -6.16788890E-04
   1.51024272E+00   1.00410095E+00  -1.61310471E-03  -1.17039029E-02  -4.97937193E-04   3.89665136E-04  -4.04039971E-04  -9.41462164E-05  -2.66866205E-04  -6.06937992E-04
