
   ising   psi         q          di      re alpha   im alpha

     1  3.468E-01  2.000E+00 -4.985E-01  7.061E-01  0.000E+00


   is    psifac      dpsi        q       singfac     eval1

  205  6.061E-04  8.227E-06  1.431E+00  5.695E-01  2.830E-02
  206  6.143E-04  8.227E-06  1.430E+00  5.695E-01  2.876E-02
  207  6.225E-04  8.227E-06  1.430E+00  5.695E-01  2.922E-02
  208  6.308E-04  8.227E-06  1.430E+00  5.695E-01  2.968E-02
  209  6.390E-04  8.227E-06  1.430E+00  5.695E-01  3.014E-02
  210  6.472E-04  8.227E-06  1.430E+00  5.696E-01  3.060E-02
  211  6.554E-04  8.227E-06  1.430E+00  5.696E-01  3.106E-02
  212  6.637E-04  8.227E-06  1.430E+00  5.696E-01  3.152E-02

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    213, psi = 6.719E-04, q =  1.430

   is    psifac      dpsi        q       singfac     eval1

  213  6.719E-04  8.227E-06  1.430E+00  5.696E-01  3.198E-02
  214  6.720E-04  1.000E-07  1.430E+00  5.696E-01  3.199E-02
  215  6.721E-04  1.000E-07  1.430E+00  5.696E-01  3.199E-02
  216  6.742E-04  2.063E-06  1.430E+00  5.696E-01  3.211E-02
  217  6.759E-04  1.704E-06  1.430E+00  5.696E-01  3.220E-02
  218  6.776E-04  1.704E-06  1.430E+00  5.696E-01  3.230E-02
  219  6.793E-04  1.704E-06  1.430E+00  5.696E-01  3.239E-02
  220  6.827E-04  3.408E-06  1.430E+00  5.696E-01  3.258E-02
  221  6.861E-04  3.408E-06  1.430E+00  5.696E-01  3.277E-02
  222  6.895E-04  3.408E-06  1.430E+00  5.696E-01  3.296E-02
  223  6.929E-04  3.408E-06  1.430E+00  5.696E-01  3.315E-02
  224  6.970E-04  4.058E-06  1.430E+00  5.696E-01  3.338E-02
  225  7.010E-04  4.058E-06  1.430E+00  5.696E-01  3.361E-02
  226  7.051E-04  4.058E-06  1.430E+00  5.696E-01  3.383E-02
  227  7.091E-04  4.058E-06  1.430E+00  5.696E-01  3.406E-02
